Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Gross_sales/ Bruttoumsatz;Publisher_Revenue;Publisher;Verfilmt;Genre_standardized
1897.0;The War of the Worlds;H,G, Wells, Arthur C, Clarke;en;Intermediate;3.8;159752.0;15968.0;0.0;Amazon Digital Services,  Inc,;Ja;Science Fiction
2006.0;Pretty Little Liars;Sara Shepard;en;Intermediate;3.9;156328.0;15968.0;0.0;Amazon Digital Services,  Inc,;Ja;Mystery / Thriller
1948.0;Corduroy;Don Freeman;en;Intermediate;4.28;160860.0;6234.67;3740802.0;Simon and Schuster Digital Sales Inc;Ja;Children’s
2006.0;The Omnivore's Dilemma;Michael Pollan;en;Intermediate;4.17;133271.0;3035.34;0.0;Amazon Digital Services,  Inc,;Nein;Nonfiction
2013.0;Life After Life;Kate Atkinson;en;Intermediate;3.74;138454.0;11702.67;0.0;Amazon Digital Services,  Inc,;Ja;Historical Fiction
2000.0;The Rescue;Nicholas Sparks;en;Intermediate;4.1;142092.0;8569.34;0.0;Amazon Digital Services,  Inc,;Nein;Romance
1991.0;Needful Things;Stephen King;en;Intermediate;3.87;153821.0;2772.0;0.0;Amazon Digital Services,  Inc,;Ja;Mystery / Thriller
1993.0;Voyager;Diana Gabaldon;en;Intermediate;4.38;157395.0;8171.67;0.0;Amazon Digital Services,  Inc,;Ja;Historical Fiction
1996.0;Hamlet;William Shakespeare;en;Intermediate;4.12;156869.0;2639.34;1583604.0;Amazon Digital Services,  Inc,;ja;Classic
1981.0;Cujo;Stephen King;es;Intermediate;3.65;158215.0;7774.0;0.0;Amazon Digital Services,  Inc,;Ja;Mystery / Thriller
1993.0;The Virgin Suicides;Jeffrey Eugenides;en;Intermediate;3.83;159249.0;26904.06;16142436.0;Penguin;Ja;Historical Fiction
2004.0;Dead to the World;Charlaine Harris;en;Intermediate;4.13;199572.0;2376.0;0.0;Amazon Digital Services,  Inc,;Nein;Mystery / Thriller
1891.0;Tess of the d'Urbervilles: A Pure Woman Faithfully Presented;Thomas Hardy, Tim Dolin, Margaret R, Higonnet;en;Intermediate;3.77;171599.0;9576.0;5745.6;Hachette;Ja;Classic (Literary Fiction)
1856.0;Madame Bovary;Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall;en;Intermediate;3.64;158877.0;9308.67;0.0;Amazon Digital Services,  Inc,;Ja;Classic (Literary Fiction)
1961.0;The Phantom Tollbooth;Norton Juster, Jules Feiffer;en;Intermediate;4.22;178432.0;4509.34;0.0;Amazon Digital Services,  Inc,;Ja;Children’s
2010.0;The Way of Kings;Brandon Sanderson;en;Famous;4.64;144822.0;2178.0;0.0;Amazon Digital Services,  Inc,;Nein;Fantasy
2003.0;Club Dead;Charlaine Harris;en;Intermediate;4.03;181323.0;13178.0;7906.8;Harper;Nein;Mystery / Thriller
2006.0;It's Kind of a Funny Story;Ned Vizzini;en;Intermediate;4.14;161001.0;2045.34;1227204.0;Harper;Ja;Non-Fiction (Memoir)
2007.0;The Well of Ascension;Brandon Sanderson;en;Intermediate;4.35;598650.0;17980.0;10788.0;Random;nein;Fantasy
2015.0;After You;Jojo Moyes;en;Intermediate;3.7;99342.0;1964.16;0.0;Amazon Digital Services,  Inc,;Nein;Romance
2011.0;The Language of Flowers;Vanessa Diffenbaugh;en;Intermediate;4.07;140076.0;1964.16;1178496.0;Amazon Digital Services,  Inc,;Nein;Historical Fiction
1986.0;Batman: The Dark Knight Returns;Frank Miller, Klaus Janson, Lynn Varley;en;Intermediate;4.25;135979.0;1949.31;0.0;Amazon Digital Services,  Inc,;Ja;Graphic Novel
2005.0;The Angel Experiment;James Patterson;en;Intermediate;4.08;172302.0;1949.31;0.0;Amazon Digital Services,  Inc,;Nein;Mystery / Thriller
1995.0;High Fidelity;Nick Hornby;en;Intermediate;3.94;134849.0;20309.55;12185.73;Random;Ja;Historical Fiction
2003.0;The Guardian;Nicholas Sparks;en;Intermediate;4.14;136427.0;1873.08;0.0;Amazon Digital Services,  Inc,;Ja;Romance
2003.0;Oryx and Crake;Margaret Atwood;en;Intermediate;4.0;151500.0;7485.24;0.0;Amazon Digital Services,  Inc,;Nein;Science Fiction
1998.0;Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships;John Gray;en;Intermediate;3.52;113915.0;3703.39;2222034.0;Amazon Digital Services,  Inc,;Nein;Nonfiction
2000.0;Kitchen Confidential: Adventures in the Culinary Underbelly;Anthony Bourdain;en;Intermediate;4.0;134177.0;11057.54;6634524.0;Harper;Ja;Nonfiction
1999.0;Timeline;Michael Crichton;en;Intermediate;3.83;148563.0;12791.7;7675.02;Amazon Digital Services,  Inc,;Ja;Science Fiction
1759.0;Candide;Voltaire;en;Intermediate;3.76;151471.0;8982.0;0.0;Amazon Digital Services,  Inc,;Ja;Classic (Literary Fiction)
1975.0;Tuck Everlasting;Natalie Babbitt;en;Intermediate;3.85;174280.0;3582.0;2149.2;Amazon Digital Services,  Inc,;Ja;Children’s
1983.0;Christine;Stephen King, Marie Milpois;fr;Intermediate;3.72;151160.0;1766.16;1059696.0;Amazon Digital Services,  Inc,;Ja;Mystery / Thriller
1960.0;Are You My Mother?;P,D, Eastman;en;Intermediate;4.16;174204.0;10596.31;6357786.0;Penguin;Nein;Children’s
1950.0;The Story of Art;E,H, Gombrich;en;Intermediate;3.83;164708.0;15058.27;9034962.0;Hachette;Nein;Nonfiction
2013.0;Scarlet;Marissa Meyer;en;Intermediate;4.3;193766.0;1720.62;1032372.0;Amazon Digital Services,  Inc,;Nein;Young Adult
1997.0;Rich Dad , Poor Dad;Robert T, Kiyosaki;en;Intermediate;3.95;153764.0;1705.77;1023462.0;Random;Nein;Nonfiction
2011.0;Silence ;Becca Fitzpatrick;en;Intermediate;4.16;190722.0;8517.93;0.0;Amazon Digital Services,  Inc,;Ja;Young Adult
2009.0;The Magicians;Lev Grossman;en;Novice;3.47;147908.0;1675.08;1005048.0;Macmillan;Ja;Fantasy
2003.0;A Great and Terrible Beauty;Libba Bray;en;Intermediate;3.79;173613.0;4966.39;2979834.0;Penguin;Ja;Young Adult
2002.0;Everything Is Illuminated;Jonathan Safran Foer;en;Intermediate;3.9;131492.0;1629.54;977724.0;Amazon Digital Services,  Inc,;Ja;Historical Fiction
1986.0;The Bourne Supremacy;Robert Ludlum;en;Intermediate;4.09;142168.0;17783.3;10669.98;Penguin;Ja;Mystery / Thriller
2012.0;Easy;Tammara Webber;en;Intermediate;4.11;133937.0;1613.7;0.0;Amazon Digital Services,  Inc,;Nein;Romance
1849.0;David Copperfield;Charles Dickens, Jeremy Tambling;en;Intermediate;3.96;150512.0;18394.85;11036.91;Hachette;Ja;Classic (Literary Fiction)
2007.0;The Absolutely True Diary of a Part-Time Indian;Sherman Alexie, Ellen Forney;en;Intermediate;4.11;160607.0;10384.0;6230.4;Random;Nein;Young Adult
1968.0;A Wizard of Earthsea;Ursula K, Le Guin;en;Intermediate;3.99;155042.0;4707.0;0.0;Amazon Digital Services,  Inc,;Nein;Fantasy
2000.0;Because of Winn-Dixie;Kate DiCamillo, Chris Sheban;en;Intermediate;4.0;154476.0;1522.62;0.0;Amazon Digital Services,  Inc,;Ja;Children’s
1959.0;A Separate Peace;John Knowles;en;Intermediate;3.56;155901.0;5924.47;0.0;Amazon Digital Services,  Inc,;Ja;Historical Fiction
1995.0;The Rainmaker;John Grisham;en;Intermediate;3.91;137412.0;12040.93;0.0;Amazon Digital Services,  Inc,;Ja;Mystery / Thriller
1605.0;Don Quijote de La Mancha;Miguel de Cervantes Saavedra, Roberto GonzÃÂ¡lez EchevarrÃÂ­a, John Rutherford;en;Intermediate;3.85;134931.0;13413.08;8047848.0;Hachette;Ja;Classic (Literary Fiction)
1995.0;Assassin's Apprentice;Robin Hobb;en;Intermediate;4.14;132777.0;2907.39;0.0;Amazon Digital Services,  Inc,;Nein;Fantasy
1980.0;The Restaurant at the End of the Universe;Douglas Adams;en;Intermediate;4.22;153838.0;11553.54;6932124.0;Penguin;Nein;Science Fiction
2010.0;Torment;Lauren Kate;en;Intermediate;3.89;174393.0;5705.7;0.0;Amazon Digital Services,  Inc,;Nein;Young Adult
1901.0;The Tale of Peter Rabbit;Beatrix Potter;en;Intermediate;4.17;162373.0;9890.85;5934.51;Penguin;Ja;Children’s
1953.0;The Silver Chair;C,S, Lewis, Pauline Baynes;en;Intermediate;3.95;170453.0;5245.36;3147216.0;Hachette;Ja;Fantasy
2008.0;The Hero of Ages;Brandon Sanderson;en;Famous;4.46;143622.0;5826.64;3495984.0;Amazon Digital Services,  Inc,;Nein;Fantasy
1993.0;Girl, Interrupted;Susanna Kaysen;en;Intermediate;3.9;145161.0;2724.31;1634586.0;Hachette;Ja;Historical Fiction
2007.0;Are You There, Vodka? It's Me, Chelsea;Chelsea Handler;en;Intermediate;3.85;127096.0;5462.31;3277386.0;Hachette;Ja;Nonfiction
1970.0;Jonathan Livingston Seagull;Richard Bach, Russell Munson;en;Intermediate;3.8;133728.0;6751.47;0.0;Amazon Digital Services,  Inc,;Ja;Historical Fiction
2014.0;City of Heavenly Fire;Cassandra Clare;en;Famous;4.48;177796.0;6676.62;0.0;Amazon Digital Services,  Inc,;Nein;Young Adult
1986.0;Love You Forever;Robert Munsch, Sheila McGraw;en;Intermediate;4.34;159703.0;1309.77;785862.0;Amazon Digital Services,  Inc,;Nein;Children’s
2006.0;Cell;Stephen King;en;Intermediate;3.64;144591.0;5933.78;3560268.0;Harper;Ja;Mystery / Thriller
2013.0;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Daniel James Brown;en;Intermediate;4.32;113565.0;8482.43;5089458.0;Hachette;Nein;Nonfiction
1977.0;The Silmarillion;J,R,R, Tolkien, Christopher Tolkien, Ted Nasmith;en;Intermediate;3.87;134106.0;6447.08;3868248.0;Random;Nein;Fantasy
1987.0;The Drawing of the Three;Stephen King;en;Intermediate;4.23;139052.0;2539.24;1523544.0;Harper;Nein;Mystery / Thriller
2008.0;The Forgotten Garden;Kate Morton;en;Intermediate;4.12;138377.0;4907.7;0.0;Amazon Digital Services,  Inc,;Nein;Mystery / Thriller
1925.0;Der ProzeÃÅ¸;Franz Kafka, Edwin Muir, Willa Muir, Max Brod;en;Intermediate;3.98;131856.0;1202.85;0.0;Amazon Digital Services,  Inc,;Ja;Classic (Literary Fiction)
2002.0;This Lullaby;Sarah Dessen;en;Intermediate;4.03;151829.0;2417.85;1450.71;Harper;Nein;Young Adult
2000.0;Plain Truth;Jodi Picoult;en;Intermediate;3.97;128406.0;1188.0;0.0;Amazon Digital Services,  Inc,;Ja;Mystery / Thriller
2010.0;Orange Is the New Black: My Year in a Women's Prison;Piper Kerman;en;Intermediate;3.7;127186.0;2388.0;0.0;Amazon Digital Services,  Inc,;Ja;Nonfiction
1902.0;The Hound of the Baskervilles;Arthur Conan Doyle, Anne Perry;en;Intermediate;4.09;154517.0;2356.16;1413696.0;Macmillan;Ja;Mystery / Thriller
2011.0;Thinking, Fast and Slow;Daniel Kahneman;en;Intermediate;4.08;136950.0;1157.31;694386.0;Amazon Digital Services,  Inc,;Nein;Nonfiction
1982.0;The Mists of Avalon;Marion Zimmer Bradley;en;Intermediate;4.12;157736.0;1157.31;694386.0;Amazon Digital Services,  Inc,;Ja;Fantasy
1970.0;Are You There God? It's Me, Margaret;Judy Blume;en;Intermediate;3.89;151789.0;1111.77;0.0;Amazon Digital Services,  Inc,;Ja;Children’s
2002.0;Nights in Rodanthe;Nicholas Sparks;en;Intermediate;3.82;129807.0;5603.77;3362262.0;Amazon Digital Services,  Inc,;Ja;Romance
2014.0;Mr, Mercedes;Stephen King;en;Intermediate;3.92;125847.0;2202.93;1321758.0;Macmillan;Ja;Mystery / Thriller
2007.0;All Together Dead;Charlaine Harris;en;Intermediate;4.05;162689.0;6983.24;4189944.0;Random;Ja;Mystery / Thriller
1997.0;Midwives;Chris Bohjalian;en;Intermediate;3.97;133155.0;6885.89;4131534.0;Random;Nein;Historical Fiction
1985.0;The Polar Express;Chris Van Allsburg;en;Intermediate;4.29;168001.0;1035.54;621324.0;Amazon Digital Services,  Inc,;Ja;Children’s
1989.0;The True Story of the Three Little Pigs;Jon Scieszka, Lane Smith;en;Intermediate;4.29;141945.0;1019.7;0.0;Amazon Digital Services,  Inc,;Ja;Children’s
1987.0;Patriot Games;Tom Clancy;en;Intermediate;4.11;141674.0;6079.85;0.0;Amazon Digital Services,  Inc,;Ja;Mystery / Thriller
1998.0;Veronika decide morrer;Paulo Coelho, Margaret Jull Costa;en;Intermediate;3.69;111856.0;6932.45;4159.47;Penguin;Ja;Historical Fiction
2013.0;Lean In: Women, Work, and the Will to Lead;Sheryl Sandberg, Nell Scovell;en;Intermediate;3.94;135635.0;985.05;0.0;Amazon Digital Services,  Inc,;Nein;Nonfiction
2005.0;Dead as a Doornail ;Charlaine Harris;en;Intermediate;4.01;169560.0;5068.8;3041.28;Penguin;Nein;Mystery / Thriller
2011.0;Shatter Me (Shatter Me, #1);Tahereh Mafi;en;Intermediate;4.01;176433.0;2195.2;1317.12;Amazon Digital Services,  Inc,;Ja;Young Adult
1959.0;Starship Troopers;Robert A, Heinlein;en;Intermediate;3.99;136886.0;7312.5;4387.5;Hachette;Ja;Science Fiction
2011.0;I've Got Your Number;Sophie Kinsella;en;Intermediate;3.93;144533.0;960.3;0.0;Amazon Digital Services,  Inc,;Nein;Romance
1991.0;Sofies Verden;Jostein Gaarder, Paulette MÃÂ¸ller;en;Intermediate;3.88;109692.0;10224.0;6134.4;Penguin;Ja;Historical Fiction
1950.0;The Martian Chronicles;Ray Bradbury;en;Intermediate;4.12;143236.0;1880.55;0.0;Amazon Digital Services,  Inc,;Nein;Science Fiction
2010.0;A Visit From the Goon Squad;Jennifer Egan;en;Intermediate;3.64;120126.0;4690.6;2814.36;Macmillan;Ja;Historical Fiction
1880.0;Heidi;Johanna Spyri, Angelo  Rinaldi, Beverly Cleary;en;Intermediate;3.97;144497.0;3730.65;2238.39;Penguin;Ja;Children’s
2002.0;Prey;Michael Crichton;en;Intermediate;3.72;131352.0;1850.7;0.0;Amazon Digital Services,  Inc,;Ja;Mystery / Thriller
1956.0;The Last Battle;C,S, Lewis;en;Intermediate;4.02;158701.0;5980.0;3588.0;Amazon Digital Services,  Inc,;Nein;Fantasy
2007.0;World Without End;Ken Follett;en;Intermediate;4.23;128715.0;905.85;543.51;Random;Nein;Historical Fiction
2008.0;Chosen: A House of Night Novel;P,C, Cast, Kristin Cast;en;Intermediate;3.9;180961.0;7759.2;4655.52;Amazon Digital Services,  Inc,;Ja;Young Adult
2012.0;Slammed;Colleen Hoover;en;Intermediate;4.29;153882.0;900.9;0.0;Amazon Digital Services,  Inc,;Ja;Romance
2007.0;Beastly (Beastly, #1, Kendra Chronicles, #1);Alex Flinn;en;Intermediate;3.84;150003.0;895.95;537.57;Amazon Digital Services,  Inc,;Ja;Young Adult
1390.0;Tales of Caunterbury;Geoffrey Chaucer, Nevill Coghill;en;Novice;3.48;148480.0;891.0;0.0;Amazon Digital Services,  Inc,;Nein;Classic (Literary Fiction)
2006.0;Baby Proof;Emily Giffin;en;Intermediate;3.71;124371.0;5841.0;3504.6;Macmillan;Ja;Romance
2011.0;Inheritance;Christopher Paolini;en;Intermediate;4.08;146905.0;10731.05;6438.63;Random;Ja;Fantasy
2009.0;1Q84;Haruki Murakami, Jay Rubin, Philip Gabriel;en;Intermediate;3.89;125195.0;2661.1;0.0;Amazon Digital Services,  Inc,;nein;Fiction fantasy
1852.0;Uncle Tom's Cabin or Life Among the Lowly;Harriet Beecher Stowe;en;Intermediate;3.83;137858.0;1771.1;1062.66;Harper;Ja;classic (Literary Fiction)
1909.0;The Phantom of the Opera;Gaston Leroux, Alexander Teixeira de Mattos;en;Intermediate;3.97;267.0;3531.15;0.0;Amazon Digital Services,  Inc,;Nein;classic fiction
2006.0;Definitely Dead (Sookie Stackhouse, #6);Charlaine Harris;en;Intermediate;4.02;163054.0;6525.0;3915.0;Simon and Schuster Digital Sales Inc;Ja;Mystery / Thriller
1995.0;Ensaio Sobre a Cegueira; Saramago, Giovanni Pontiero;en;Intermediate;4.08;98738.0;3451.35;0.0;Amazon Digital Services,  Inc,;Nein;Historical Fiction
2010.0;Freedom;Jonathan Franzen;en;Intermediate;3.73;119213.0;6871.4;4122.84;Random;Nein;Historical Fiction
2011.0;Crossed;Ally Condie;en;Intermediate;3.52;100886.0;841.5;504.9;Amazon Digital Services,  Inc,;Nein;Young Adult
2006.0;I'd Tell You I Love You, But Then I'd Have to Kill You;Ally Carter;en;Intermediate;3.82;150222.0;10131.55;6078.93;Hachette;Ja;Young Adult
2008.0;The White Tiger;Aravind Adiga;en;Intermediate;3.71;114531.0;6711.6;4026.96;Random;Nein;Historical Fiction
2001.0;The Corrections;Jonathan Franzen;en;Intermediate;3.78;117657.0;816.75;0.0;Amazon Digital Services,  Inc,;Nein;Historical Fiction
1995.0;Dreams from My Father;Barack Obama;en;Intermediate;3.81;128961.0;1641.75;985.05;Harper;Ja;Nonfiction
1980.0;Congo;Michael Crichton;en;Intermediate;3.55;129811.0;5696.85;3418.11;Random;Nein;Mystery / Thriller
1972.0;Alexander and the Terrible, Horrible, No Good, Very Bad Day;Judith Viorst, Ray Cruz;en;Intermediate;4.22;146073.0;2421.9;0.0;Amazon Digital Services,  Inc,;Nein;Children’s
1999.0;Interpreter of Maladies;Jhumpa Lahiri;en;Intermediate;4.12;110651.0;8573.25;5143.95;Penguin;Nein;Historical Fiction
1980.0;A People's History of the United States: 1492 to Present ;Howard Zinn;en;Intermediate;4.07;137372.0;3192.0;0.0;Amazon Digital Services,  Inc,;Ja;Nonfiction
1958.0;Breakfast at Tiffany's;Truman Capote;en;Intermediate;3.89;129778.0;792.0;475.2;Amazon Digital Services,  Inc,;Nein;Historical Fiction
2010.0;The Passage;Justin Cronin;en;Intermediate;4.04;126993.0;3172.05;0.0;Amazon Digital Services,  Inc,;Nein;Mystery / Thriller
2005.0;Anansi Boys;Neil Gaiman;en;Intermediate;4.0;137639.0;1572.1;943.26;Amazon Digital Services,  Inc,;Nein;Fantasy
2009.0;Along for the Ride;Sarah Dessen;en;Intermediate;4.08;151721.0;9412.15;5647.29;Penguin;Ja;Young Adult
2014.0;Everything I Never Told You;Celeste Ng;en;Intermediate;3.78;108703.0;3112.2;0.0;Amazon Digital Services,  Inc,;Ja;Historical Fiction
1982.0;La casa de los espÃÂ­ritus;Isabel Allende, Magda Bogin;en;Intermediate;4.2;119930.0;8269.25;4961.55;Simon and Schuster Digital Sales Inc;Ja;Historical Fiction
1979.0;The Dead Zone;Stephen King;en;Intermediate;3.9;132723.0;1512.4;907.44;Harper;Nein;Mystery / Thriller
1920.0;The Mysterious Affair at Styles;Agatha Christie;en;Intermediate;3.98;135514.0;3012.45;0.0;Amazon Digital Services,  Inc,;ja;Mystery / Thriller
1934.0;Murder in the Calais Coach;Agatha Christie;en;Intermediate;4.16;138444.0;3742.5;0.0;Amazon Digital Services,  Inc,;Nein;Mystery / Thriller
2013.0;Americanah;Chimamanda Ngozi Adichie;en;Intermediate;4.26;113252.0;2992.5;0.0;Amazon Digital Services,  Inc,;Nein;Historical Fiction
2001.0;Suzanne's Diary for Nicholas;James Patterson;en;Intermediate;4.16;121398.0;3717.55;2230.53;Random;Ja;Mystery / Thriller
1980.0;Firestarter;Stephen King;en;Intermediate;3.85;142213.0;2952.6;1771.56;Macmillan;Nein;Mystery / Thriller
2013.0;Entwined with You;Sylvia Day;en;Intermediate;4.19;141641.0;727.65;0.0;Amazon Digital Services,  Inc,;Nein;Romance
2009.0;Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen;Christopher McDougall;en;Intermediate;4.27;109642.0;3642.7;0.0;Amazon Digital Services,  Inc,;Ja;Nonfiction
2014.0;The Storied Life of A,J, Fikry;Gabrielle Zevin;en;Intermediate;3.98;115393.0;5444.75;3266.85;Random;Nein;Historical Fiction
1939.0;Mad About Madeline;Ludwig Bemelmans;en;Intermediate;4.22;156726.0;712.8;0.0;Amazon Digital Services,  Inc,;Nein;Children’s
1937.0;Think and Grow Rich;Napoleon Hill;en;Intermediate;4.17;87445.0;702.9;0.0;Amazon Digital Services,  Inc,;Ja;Nonfiction
1932.0;Little House In The Big Woods;Laura Ingalls Wilder, Garth Williams;en;Intermediate;4.16;165127.0;697.95;418.77;Amazon Digital Services,  Inc,;Nein;Childrens (Historical Fiction)
2004.0;Jonathan Strange & Mr Norrell;Susanna Clarke;en;Intermediate;3.8;133683.0;5593.0;3355.8;Hachette;Ja;Fantasy
2001.0;A Bend in the Road;Nicholas Sparks;en;Intermediate;4.02;116800.0;1353.2;811.92;Harper;Nein;Romance
2013.0;The House of Hades;Rick Riordan;en;Famous;4.54;159774.0;668.25;400.95;Amazon Digital Services,  Inc,;Ja;Fantasy
2008.0;Gone;Michael  Grant;en;Intermediate;3.85;144606.0;3678.3;2206.98;Amazon Digital Services,  Inc,;Nein;Young Adult
2003.0;The Wedding;Nicholas Sparks;en;Intermediate;3.98;118045.0;658.35;395.01;Amazon Digital Services,  Inc,;Ja;Romance
2005.0;1776;David McCullough;en;Intermediate;4.06;373.0;7814.4;4688.64;Random;Nein;Nonfiction
2003.0;Under the Banner of Heaven: A Story of Violent Faith;Jon Krakauer;en;Intermediate;3.98;112167.0;648.45;0.0;Amazon Digital Services,  Inc,;Nein;Nonfiction
2012.0;Beautiful Ruins;Jess Walter;en;Intermediate;3.67;116053.0;9818.45;5891.07;Random;Nein;Historical Fiction
2006.0;The Audacity of Hope: Thoughts on Reclaiming the American Dream;Barack Obama;en;Intermediate;3.69;110873.0;3243.5;0.0;Amazon Digital Services,  Inc,;Nein;Nonfiction
1999.0;On Writing: A Memoir of the Craft;Stephen King;en;Intermediate;4.31;131481.0;1943.5;0.0;Amazon Digital Services,  Inc,;Ja;Nonfiction
2008.0;Firefly Lane;Kristin Hannah;en;Intermediate;4.04;121966.0;3218.55;0.0;Amazon Digital Services,  Inc,;Ja;Romance
1987.0;Sphere;Michael Crichton;en;Intermediate;3.77;128244.0;4473.6;2684.16;Random;Nein;Mystery / Thriller
2008.0;Love the One You're With;Emily Giffin;en;Intermediate;3.7;124812.0;5663.7;3398.22;Simon and Schuster Digital Sales Inc;Ja;Romance
2014.0;The Silkworm;Robert Galbraith, J,K, Rowling;en;Intermediate;4.03;120008.0;608.85;0.0;Amazon Digital Services,  Inc,;Nein;Mystery / Thriller
1985.0;The Vampire Lestat;Anne Rice;en;Intermediate;4.05;141299.0;603.9;362.34;Amazon Digital Services,  Inc,;Nein;Fantasy
2011.0;State of Wonder;Ann Patchett;en;Intermediate;3.85;124837.0;1210.0;0.0;Amazon Digital Services,  Inc,;Ja;Historical Fiction
2008.0;The Silver Linings Playbook;Matthew Quick;en;Intermediate;4.0;110939.0;594.0;0.0;Amazon Digital Services,  Inc,;Ja;Historical Fiction
1869.0;Vingt Mille Lieues Sous les Mers;Jules Verne, Anthony Bonner;en;Intermediate;3.86;121112.0;3540.25;0.0;Amazon Digital Services,  Inc,;Nein;Science Fiction
2005.0;The Constant Princess;Philippa Gregory;en;Intermediate;3.88;124786.0;3564.05;2138.43;Penguin;Ja;Historical Fiction
1925.0;Mrs Dalloway;Virginia Woolf, Maureen Howard;en;Intermediate;3.78;136327.0;1174.1;704.46;Amazon Digital Services,  Inc,;Ja;Historical Fiction
2009.0;The 100-Year-old Man;Jonas Jonasson, Rod Bradbury;en;Intermediate;3.81;296113.0;5200.65;3120.39;Macmillan;Ja;Historical Fiction
1998.0;Bag of Bones;Stephen King;en;Intermediate;3.87;131004.0;569.25;0.0;Amazon Digital Services,  Inc,;Ja;Literary Fiction (Humor)
1985.0;The Cider House Rules;John Irving;en;Intermediate;4.1;124876.0;1134.3;0.0;Amazon Digital Services,  Inc,;Ja;Mystery / Thriller
1984.0;Thinner;Richard Bachman, Stephen King;en;Intermediate;3.66;130219.0;1659.45;0.0;Amazon Digital Services,  Inc,;Ja;Historical Fiction
1872.0;Le tour du monde en quatre-vingts jours;Jules Verne, Michael Glencross, Brian W, Aldiss;en;Intermediate;3.9;117108.0;4434.45;2660.67;Penguin;Ja;Mystery / Thriller
1994.0;Walk Two Moons;Sharon Creech;en;Intermediate;3.95;129350.0;544.5;326.7;Amazon Digital Services,  Inc,;Nein;Science Fiction
2003.0;Onze minutos;Paulo Coelho, Margaret Jull Costa;en;Intermediate;3.69;102206.0;534.6;0.0;Amazon Digital Services,  Inc,;Nein;Historical Fiction
1953.0;Nine Stories;J,D, Salinger;en;Intermediate;4.19;105138.0;2154.6;0.0;Amazon Digital Services,  Inc,;Ja;Classic (Short Stories)
2005.0;Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen;Julie Powell;en;Intermediate;3.67;121373.0;1599.65;959.79;Random;Nein;Non-Fiction (Memoir)
2007.0;Unwind;Neal Shusterman;en;Intermediate;4.18;143892.0;524.7;314.82;Macmillan;Nein;Young Adult
1996.0;Drums of Autumn (Outlander, #4);Diana Gabaldon;en;Intermediate;4.34;123736.0;1024.85;614.91;Amazon Digital Services,  Inc,;Nein;Historical Fiction
