Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Average_Rating;Rating_Count;Gross_Sales_EUR;Publisher;Adapted_to_Film;Genre
1993;Voyager;Diana Gabaldon;en;Intermediate;Apr 38;157395;8171.67;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1996;Hamlet;William Shakespeare;en;Intermediate;04. Dez;156869;2639340.0;Amazon Digital Services,  Inc,;1.0;Classic
1981;Cujo;Stephen King;es;Intermediate;Mrz 65;158215;7774.0;Amazon Digital Services,  Inc,;1.0;Thriller
1993;The Virgin Suicides;Jeffrey Eugenides;en;Intermediate;Mrz 83;159249;26904060.0;Penguin;1.0;Historical Fiction
2004;Dead to the World;Charlaine Harris;en;Intermediate;Apr 13;199572;2376.0;Amazon Digital Services,  Inc,;0.0;Thriller
1961;The Phantom Tollbooth;Norton Juster, Jules Feiffer;en;Intermediate;Apr 22;178432;4509.34;Amazon Digital Services,  Inc,;1.0;Children’s
2010;The Way of Kings;Brandon Sanderson;en;Famous;Apr 64;144822;2178.0;Amazon Digital Services,  Inc,;0.0;Fantasy
2003;Club Dead;Charlaine Harris;en;Intermediate;04. Mrz;181323;13178.0;Harper;0.0;Thriller
2006;It's Kind of a Funny Story;Ned Vizzini;en;Intermediate;Apr 14;161001;2045340.0;Harper;1.0;Nonfiction
2007;The Well of Ascension;Brandon Sanderson;en;Intermediate;Apr 35;598650;17980.0;Random;0.0;Fantasy
2015;After You;Jojo Moyes;en;Intermediate;03. Jul;99342;1964.16;Amazon Digital Services,  Inc,;0.0;Romance
2011;The Language of Flowers;Vanessa Diffenbaugh;en;Intermediate;04. Jul;140076;1964160.0;Amazon Digital Services,  Inc,;0.0;Historical Fiction
1986;Batman: The Dark Knight Returns;Frank Miller, Klaus Janson, Lynn Varley;en;Intermediate;Apr 25;135979;1949.31;Amazon Digital Services,  Inc,;1.0;Graphic Novel
2005;The Angel Experiment;James Patterson;en;Intermediate;04. Aug;172302;1949.31;Amazon Digital Services,  Inc,;0.0;Thriller
1995;High Fidelity;Nick Hornby;en;Intermediate;Mrz 94;134849;20309.55;Random;1.0;Historical Fiction
2003;The Guardian;Nicholas Sparks;en;Intermediate;Apr 14;136427;1873.08;Amazon Digital Services,  Inc,;1.0;Romance
2003;Oryx and Crake;Margaret Atwood;en;Intermediate;4.0;151500;7485.24;Amazon Digital Services,  Inc,;0.0;Science Fiction
1998;Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships;John Gray;en;Intermediate;Mrz 52;113915;3703390.0;Amazon Digital Services,  Inc,;0.0;Nonfiction
2000;Kitchen Confidential: Adventures in the Culinary Underbelly;Anthony Bourdain;en;Intermediate;4.0;134177;11057540.0;Harper;1.0;Nonfiction
1999;Timeline;Michael Crichton;en;Intermediate;Mrz 83;148563;12791.7;Amazon Digital Services,  Inc,;1.0;Science Fiction
1975;Tuck Everlasting;Natalie Babbitt;en;Intermediate;Mrz 85;174280;3582.0;Amazon Digital Services,  Inc,;1.0;Children’s
1983;Christine;Stephen King, Marie Milpois;fr;Intermediate;Mrz 72;151160;1766160.0;Amazon Digital Services,  Inc,;1.0;Thriller
1960;Are You My Mother?;P,D, Eastman;en;Intermediate;Apr 16;174204;10596310.0;Penguin;0.0;Children’s
1950;The Story of Art;E,H, Gombrich;en;Intermediate;Mrz 83;164708;15058270.0;Hachette;0.0;Nonfiction
2013;Scarlet;Marissa Meyer;en;Intermediate;04. Mrz;193766;1720620.0;Amazon Digital Services,  Inc,;0.0;Young Adult
1997;Rich Dad , Poor Dad;Robert T, Kiyosaki;en;Intermediate;Mrz 95;153764;1705770.0;Random;0.0;Nonfiction
2011;Silence ;Becca Fitzpatrick;en;Intermediate;Apr 16;190722;8517.93;Amazon Digital Services,  Inc,;1.0;Young Adult
2009;The Magicians;Lev Grossman;en;Novice;Mrz 47;147908;1675080.0;Macmillan;1.0;Fantasy
2003;A Great and Terrible Beauty;Libba Bray;en;Intermediate;Mrz 79;173613;4966390.0;Penguin;1.0;Young Adult
2002;Everything Is Illuminated;Jonathan Safran Foer;en;Intermediate;03. Sep;131492;1629540.0;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1986;The Bourne Supremacy;Robert Ludlum;en;Intermediate;04. Sep;142168;17783.3;Penguin;1.0;Thriller
2012;Easy;Tammara Webber;en;Intermediate;04. Nov;133937;1613.7;Amazon Digital Services,  Inc,;0.0;Romance
2007;The Absolutely True Diary of a Part-Time Indian;Sherman Alexie, Ellen Forney;en;Intermediate;04. Nov;160607;10384.0;Random;0.0;Young Adult
1968;A Wizard of Earthsea;Ursula K, Le Guin;en;Intermediate;Mrz 99;155042;4707.0;Amazon Digital Services,  Inc,;0.0;Fantasy
2000;Because of Winn-Dixie;Kate DiCamillo, Chris Sheban;en;Intermediate;4.0;154476;1522.62;Amazon Digital Services,  Inc,;1.0;Children’s
1959;A Separate Peace;John Knowles;en;Intermediate;Mrz 56;155901;5924.47;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1995;The Rainmaker;John Grisham;en;Intermediate;Mrz 91;137412;12040.93;Amazon Digital Services,  Inc,;1.0;Thriller
1995;Assassin's Apprentice;Robin Hobb;en;Intermediate;Apr 14;132777;2907.39;Amazon Digital Services,  Inc,;0.0;Fantasy
1980;The Restaurant at the End of the Universe;Douglas Adams;en;Intermediate;Apr 22;153838;11553540.0;Penguin;0.0;Science Fiction
2010;Torment;Lauren Kate;en;Intermediate;Mrz 89;174393;5705.7;Amazon Digital Services,  Inc,;0.0;Young Adult
1953;The Silver Chair;C,S, Lewis, Pauline Baynes;en;Intermediate;Mrz 95;170453;5245360.0;Hachette;1.0;Fantasy
2008;The Hero of Ages;Brandon Sanderson;en;Famous;Apr 46;143622;5826640.0;Amazon Digital Services,  Inc,;0.0;Fantasy
1993;Girl, Interrupted;Susanna Kaysen;en;Intermediate;03. Sep;145161;2724310.0;Hachette;1.0;Historical Fiction
2007;Are You There, Vodka? It's Me, Chelsea;Chelsea Handler;en;Intermediate;Mrz 85;127096;5462310.0;Hachette;1.0;Nonfiction
1970;Jonathan Livingston Seagull;Richard Bach, Russell Munson;en;Intermediate;03. Aug;133728;6751.47;Amazon Digital Services,  Inc,;1.0;Historical Fiction
2014;City of Heavenly Fire;Cassandra Clare;en;Famous;Apr 48;177796;6676.62;Amazon Digital Services,  Inc,;0.0;Young Adult
1986;Love You Forever;Robert Munsch, Sheila McGraw;en;Intermediate;Apr 34;159703;1309770.0;Amazon Digital Services,  Inc,;0.0;Children’s
2006;Cell;Stephen King;en;Intermediate;Mrz 64;144591;5933780.0;Harper;1.0;Thriller
2013;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Daniel James Brown;en;Intermediate;Apr 32;113565;8482430.0;Hachette;0.0;Nonfiction
1977;The Silmarillion;J,R,R, Tolkien, Christopher Tolkien, Ted Nasmith;en;Intermediate;Mrz 87;134106;6447080.0;Random;0.0;Fantasy
1987;The Drawing of the Three;Stephen King;en;Intermediate;Apr 23;139052;2539240.0;Harper;0.0;Thriller
2008;The Forgotten Garden;Kate Morton;en;Intermediate;04. Dez;138377;4907.7;Amazon Digital Services,  Inc,;0.0;Thriller
1925;Der ProzeÃÅ¸;Franz Kafka, Edwin Muir, Willa Muir, Max Brod;en;Intermediate;Mrz 98;131856;1202.85;Amazon Digital Services,  Inc,;1.0;Fiction
2002;This Lullaby;Sarah Dessen;en;Intermediate;04. Mrz;151829;2417.85;Harper;0.0;Young Adult
2000;Plain Truth;Jodi Picoult;en;Intermediate;Mrz 97;128406;1188.0;Amazon Digital Services,  Inc,;1.0;Thriller
2010;Orange Is the New Black: My Year in a Women's Prison;Piper Kerman;en;Intermediate;03. Jul;127186;2388.0;Amazon Digital Services,  Inc,;1.0;Nonfiction
2011;Thinking, Fast and Slow;Daniel Kahneman;en;Intermediate;04. Aug;136950;1157310.0;Amazon Digital Services,  Inc,;0.0;Nonfiction
1982;The Mists of Avalon;Marion Zimmer Bradley;en;Intermediate;04. Dez;157736;1157310.0;Amazon Digital Services,  Inc,;1.0;Fantasy
1970;Are You There God? It's Me, Margaret;Judy Blume;en;Intermediate;Mrz 89;151789;1111.77;Amazon Digital Services,  Inc,;1.0;Children’s
2002;Nights in Rodanthe;Nicholas Sparks;en;Intermediate;Mrz 82;129807;5603770.0;Amazon Digital Services,  Inc,;1.0;Romance
2014;Mr, Mercedes;Stephen King;en;Intermediate;Mrz 92;125847;2202930.0;Macmillan;1.0;Thriller
2007;All Together Dead;Charlaine Harris;en;Intermediate;04. Mai;162689;6983240.0;Random;1.0;Thriller
1997;Midwives;Chris Bohjalian;en;Intermediate;Mrz 97;133155;6885890.0;Random;0.0;Historical Fiction
1985;The Polar Express;Chris Van Allsburg;en;Intermediate;Apr 29;168001;1035540.0;Amazon Digital Services,  Inc,;1.0;Children’s
1989;The True Story of the Three Little Pigs;Jon Scieszka, Lane Smith;en;Intermediate;Apr 29;141945;1019.7;Amazon Digital Services,  Inc,;1.0;Children’s
1987;Patriot Games;Tom Clancy;en;Intermediate;04. Nov;141674;6079.85;Amazon Digital Services,  Inc,;1.0;Thriller
1998;Veronika decide morrer;Paulo Coelho, Margaret Jull Costa;en;Intermediate;Mrz 69;111856;6932.45;Penguin;1.0;Historical Fiction
2013;Lean In: Women, Work, and the Will to Lead;Sheryl Sandberg, Nell Scovell;en;Intermediate;Mrz 94;135635;985.05;Amazon Digital Services,  Inc,;0.0;Nonfiction
2005;Dead as a Doornail ;Charlaine Harris;en;Intermediate;04. Jan;169560;5068.8;Penguin;0.0;Thriller
2011;Shatter Me (Shatter Me, #1);Tahereh Mafi;en;Intermediate;04. Jan;176433;2195.2;Amazon Digital Services,  Inc,;1.0;Young Adult
1959;Starship Troopers;Robert A, Heinlein;en;Intermediate;Mrz 99;136886;7312.5;Hachette;1.0;Science Fiction
2011;I've Got Your Number;Sophie Kinsella;en;Intermediate;Mrz 93;144533;960.3;Amazon Digital Services,  Inc,;0.0;Romance
1991;Sofies Verden;Jostein Gaarder, Paulette MÃÂ¸ller;en;Intermediate;Mrz 88;109692;10224.0;Penguin;1.0;Historical Fiction
1950;The Martian Chronicles;Ray Bradbury;en;Intermediate;04. Dez;143236;1880.55;Amazon Digital Services,  Inc,;0.0;Science Fiction
2010;A Visit From the Goon Squad;Jennifer Egan;en;Intermediate;Mrz 64;120126;4690.6;Macmillan;1.0;Historical Fiction
2002;Prey;Michael Crichton;en;Intermediate;Mrz 72;131352;1850.7;Amazon Digital Services,  Inc,;1.0;Thriller
1956;The Last Battle;C,S, Lewis;en;Intermediate;04. Feb;158701;5980.0;Amazon Digital Services,  Inc,;0.0;Fantasy
2007;World Without End;Ken Follett;en;Intermediate;Apr 23;128715;905.85;Random;0.0;Historical Fiction
2008;Chosen: A House of Night Novel;P,C, Cast, Kristin Cast;en;Intermediate;03. Sep;180961;7759.2;Amazon Digital Services,  Inc,;1.0;Young Adult
2012;Slammed;Colleen Hoover;en;Intermediate;Apr 29;153882;900.9;Amazon Digital Services,  Inc,;1.0;Romance
2007;Beastly (Beastly, #1, Kendra Chronicles, #1);Alex Flinn;en;Intermediate;Mrz 84;150003;895.95;Amazon Digital Services,  Inc,;1.0;Young Adult
2006;Baby Proof;Emily Giffin;en;Intermediate;Mrz 71;124371;5841.0;Macmillan;1.0;Romance
2011;Inheritance;Christopher Paolini;en;Intermediate;04. Aug;146905;10731.05;Random;1.0;Fantasy
2009;1Q84;Haruki Murakami, Jay Rubin, Philip Gabriel;en;Intermediate;Mrz 89;125195;2661.1;Amazon Digital Services,  Inc,;0.0;Fantasy
2006;Definitely Dead (Sookie Stackhouse, #6);Charlaine Harris;en;Intermediate;04. Feb;163054;6525.0;Simon and Schuster Digital Sales Inc;1.0;Thriller
1995;Ensaio Sobre a Cegueira; Saramago, Giovanni Pontiero;en;Intermediate;04. Aug;98738;3451.35;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2010;Freedom;Jonathan Franzen;en;Intermediate;Mrz 73;119213;6871.4;Random;0.0;Historical Fiction
2011;Crossed;Ally Condie;en;Intermediate;Mrz 52;100886;841.5;Amazon Digital Services,  Inc,;0.0;Young Adult
2006;I'd Tell You I Love You, But Then I'd Have to Kill You;Ally Carter;en;Intermediate;Mrz 82;150222;10131.55;Hachette;1.0;Young Adult
2008;The White Tiger;Aravind Adiga;en;Intermediate;Mrz 71;114531;6711.6;Random;0.0;Historical Fiction
2001;The Corrections;Jonathan Franzen;en;Intermediate;Mrz 78;117657;816.75;Amazon Digital Services,  Inc,;0.0;Historical Fiction
1995;Dreams from My Father;Barack Obama;en;Intermediate;Mrz 81;128961;1641.75;Harper;1.0;Nonfiction
1980;Congo;Michael Crichton;en;Intermediate;Mrz 55;129811;5696.85;Random;0.0;Thriller
1972;Alexander and the Terrible, Horrible, No Good, Very Bad Day;Judith Viorst, Ray Cruz;en;Intermediate;Apr 22;146073;2421.9;Amazon Digital Services,  Inc,;0.0;Children’s
1999;Interpreter of Maladies;Jhumpa Lahiri;en;Intermediate;04. Dez;110651;8573.25;Penguin;0.0;Historical Fiction
1980;A People's History of the United States: 1492 to Present ;Howard Zinn;en;Intermediate;04. Jul;137372;3192.0;Amazon Digital Services,  Inc,;1.0;Nonfiction
1958;Breakfast at Tiffany's;Truman Capote;en;Intermediate;Mrz 89;129778;792.0;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2010;The Passage;Justin Cronin;en;Intermediate;04. Apr;126993;3172.05;Amazon Digital Services,  Inc,;0.0;Thriller
2005;Anansi Boys;Neil Gaiman;en;Intermediate;4.0;137639;1572.1;Amazon Digital Services,  Inc,;0.0;Fantasy
2009;Along for the Ride;Sarah Dessen;en;Intermediate;04. Aug;151721;9412.15;Penguin;1.0;Young Adult
2014;Everything I Never Told You;Celeste Ng;en;Intermediate;Mrz 78;108703;3112.2;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1982;La casa de los espÃÂ­ritus;Isabel Allende, Magda Bogin;en;Intermediate;04. Feb;119930;8269.25;Simon and Schuster Digital Sales Inc;1.0;Historical Fiction
1979;The Dead Zone;Stephen King;en;Intermediate;03. Sep;132723;1512.4;Harper;0.0;Thriller
1934;Murder in the Calais Coach;Agatha Christie;en;Intermediate;Apr 16;138444;3742.5;Amazon Digital Services,  Inc,;0.0;Thriller
2013;Americanah;Chimamanda Ngozi Adichie;en;Intermediate;Apr 26;113252;2992.5;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2001;Suzanne's Diary for Nicholas;James Patterson;en;Intermediate;Apr 16;121398;3717.55;Random;1.0;Thriller
1980;Firestarter;Stephen King;en;Intermediate;Mrz 85;142213;2952.6;Macmillan;0.0;Thriller
2013;Entwined with You;Sylvia Day;en;Intermediate;Apr 19;141641;727.65;Amazon Digital Services,  Inc,;0.0;Romance
2009;Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen;Christopher McDougall;en;Intermediate;Apr 27;109642;3642.7;Amazon Digital Services,  Inc,;1.0;Nonfiction
2014;The Storied Life of A,J, Fikry;Gabrielle Zevin;en;Intermediate;Mrz 98;115393;5444.75;Random;0.0;Historical Fiction
1939;Mad About Madeline;Ludwig Bemelmans;en;Intermediate;Apr 22;156726;712.8;Amazon Digital Services,  Inc,;0.0;Children’s
1937;Think and Grow Rich;Napoleon Hill;en;Intermediate;Apr 17;87445;702.9;Amazon Digital Services,  Inc,;1.0;Nonfiction
1932;Little House In The Big Woods;Laura Ingalls Wilder, Garth Williams;en;Intermediate;Apr 16;165127;697.95;Amazon Digital Services,  Inc,;0.0;Children’s
2004;Jonathan Strange & Mr Norrell;Susanna Clarke;en;Intermediate;03. Aug;133683;5593.0;Hachette;1.0;Fantasy
2001;A Bend in the Road;Nicholas Sparks;en;Intermediate;04. Feb;116800;1353.2;Harper;0.0;Romance
2013;The House of Hades;Rick Riordan;en;Famous;Apr 54;159774;668.25;Amazon Digital Services,  Inc,;1.0;Fantasy
2008;Gone;Michael  Grant;en;Intermediate;Mrz 85;144606;3678.3;Amazon Digital Services,  Inc,;0.0;Young Adult
2003;The Wedding;Nicholas Sparks;en;Intermediate;Mrz 98;118045;658.35;Amazon Digital Services,  Inc,;1.0;Romance
2005;1776;David McCullough;en;Intermediate;04. Jun;373;7814.4;Random;0.0;Nonfiction
2003;Under the Banner of Heaven: A Story of Violent Faith;Jon Krakauer;en;Intermediate;Mrz 98;112167;648.45;Amazon Digital Services,  Inc,;0.0;Nonfiction
2012;Beautiful Ruins;Jess Walter;en;Intermediate;Mrz 67;116053;9818.45;Random;0.0;Historical Fiction
2006;The Audacity of Hope: Thoughts on Reclaiming the American Dream;Barack Obama;en;Intermediate;Mrz 69;110873;3243.5;Amazon Digital Services,  Inc,;0.0;Nonfiction
1999;On Writing: A Memoir of the Craft;Stephen King;en;Intermediate;Apr 31;131481;1943.5;Amazon Digital Services,  Inc,;1.0;Nonfiction
2008;Firefly Lane;Kristin Hannah;en;Intermediate;04. Apr;121966;3218.55;Amazon Digital Services,  Inc,;1.0;Romance
1987;Sphere;Michael Crichton;en;Intermediate;Mrz 77;128244;4473.6;Random;0.0;Thriller
2008;Love the One You're With;Emily Giffin;en;Intermediate;03. Jul;124812;5663.7;Simon and Schuster Digital Sales Inc;1.0;Romance
2014;The Silkworm;Robert Galbraith, J,K, Rowling;en;Intermediate;04. Mrz;120008;608.85;Amazon Digital Services,  Inc,;0.0;Thriller
1985;The Vampire Lestat;Anne Rice;en;Intermediate;04. Mai;141299;603.9;Amazon Digital Services,  Inc,;0.0;Fantasy
2011;State of Wonder;Ann Patchett;en;Intermediate;Mrz 85;124837;1210.0;Amazon Digital Services,  Inc,;1.0;Historical Fiction
2008;The Silver Linings Playbook;Matthew Quick;en;Intermediate;4.0;110939;594.0;Amazon Digital Services,  Inc,;1.0;Historical Fiction
2005;The Constant Princess;Philippa Gregory;en;Intermediate;Mrz 88;124786;3564.05;Penguin;1.0;Historical Fiction
1925;Mrs Dalloway;Virginia Woolf, Maureen Howard;en;Intermediate;Mrz 78;136327;1174.1;Amazon Digital Services,  Inc,;1.0;Historical Fiction
2009;The 100-Year-old Man;Jonas Jonasson, Rod Bradbury;en;Intermediate;Mrz 81;296113;5200.65;Macmillan;1.0;Historical Fiction
1998;Bag of Bones;Stephen King;en;Intermediate;Mrz 87;131004;569.25;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1985;The Cider House Rules;John Irving;en;Intermediate;04. Jan;124876;1134.3;Amazon Digital Services,  Inc,;1.0;Thriller
1984;Thinner;Richard Bachman, Stephen King;en;Intermediate;Mrz 66;130219;1659.45;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1994;Walk Two Moons;Sharon Creech;en;Intermediate;Mrz 95;129350;544.5;Amazon Digital Services,  Inc,;0.0;Science Fiction
2003;Onze minutos;Paulo Coelho, Margaret Jull Costa;en;Intermediate;Mrz 69;102206;534.6;Amazon Digital Services,  Inc,;0.0;Historical Fiction
1953;Nine Stories;J,D, Salinger;en;Intermediate;Apr 19;105138;2154.6;Amazon Digital Services,  Inc,;1.0;Classic
2005;Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen;Julie Powell;en;Intermediate;Mrz 67;121373;1599.65;Random;0.0;Nonfiction
2007;Unwind;Neal Shusterman;en;Intermediate;Apr 18;143892;524.7;Macmillan;0.0;Young Adult
1996;Drums of Autumn (Outlander, #4);Diana Gabaldon;en;Intermediate;Apr 34;123736;1024.85;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2013;Prodigy;Marie Lu;en;Intermediate;Apr 29;149702;1524.9;Amazon Digital Services,  Inc,;1.0;Young Adult
1949;Death of a Salesman;Arthur Miller;en;Novice;Mrz 49;132061;5433180.0;Penguin;1.0;Classic
2007;The Choice;Nicholas Sparks;en;Intermediate;Mrz 99;93479;1483.04;Amazon Digital Services,  Inc,;1.0;Romance
2012;The Hunger Games: Official Illustrated Movie Companion;Kate Egan;en;Famous;Apr 51;119915;2950910.0;Harper;1.0;Young Adult
1929;The Sound and the Fury;William Faulkner;en;Intermediate;Mrz 86;124665;2445.1;Hachette;0.0;Historical Fiction
2005;A New Earth: Awakening to Your Life's Purpose;Eckhart Tolle;en;Intermediate;04. Feb;106211;483120.0;Amazon Digital Services,  Inc,;0.0;Nonfiction
2002;Blech;Tite Kubo;en;Intermediate;Apr 21;120004;2605920.0;Penguin;1.0;Nonfiction
2013;Hyperbole and a Half;Allie Brosh;en;Intermediate;Apr 17;118910;5269530.0;Penguin;0.0;Nonfiction
1992;The Shadow Rising ;Robert Jordan;en;Intermediate;Apr 21;122524;2057580.0;Harper;1.0;Fantasy
2003;Shantaram;Gregory David Roberts;en;Intermediate;Apr 26;95213;476.19;Amazon Digital Services,  Inc,;1.0;Memoir
2008;From Dead to Worse;Charlaine Harris;en;Intermediate;04. Jan;151095;475.2;Amazon Digital Services,  Inc,;0.0;Thriller
1991;The Waste Lands;Stephen King, Ned Dameron;en;Intermediate;Apr 24;117483;1429.22;Amazon Digital Services,  Inc,;1.0;Horror
1997;The Bone Collector;Jeffery Deaver;en;Intermediate;Apr 18;120541;5253220.0;Random;1.0;Thriller
1995;Der Vorleser;Bernhard Schlink, Carol Brown Janeway;en;Intermediate;Mrz 73;119911;1423.24;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1967;Brown Bear, Brown Bear, What Do You See?;Bill Martin Jr,, Eric Carle;en;Intermediate;Apr 19;125668;2375240.0;Hachette;0.0;Children’s
1989;Hyperion;Dan Simmons;en;Intermediate;Apr 21;122225;470.25;Amazon Digital Services,  Inc,;1.0;Science Fiction
1947;The Pearl of the World;John Steinbeck;en;Novice;Mrz 41;133264;470.25;Amazon Digital Services,  Inc,;0.0;Historical Fiction
1971;The Exorcist;William Peter Blatty;en;Intermediate;Apr 14;124467;1399.32;Amazon Digital Services,  Inc,;1.0;Horror
2009;The Short Second Life of Bree Tanner;Stephenie Meyer;en;Intermediate;Mrz 51;145874;461.34;Amazon Digital Services,  Inc,;0.0;Young Adult
1994;Snow Falling on Cedars;David Guterson;en;Intermediate;03. Aug;131945;1393.34;Amazon Digital Services,  Inc,;1.0;Historical Fiction
1976;Roots;Alex Haley;en;Famous;Apr 42;118951;460.35;Macmillan;1.0;Memoir
1988;Batman: The Killing Joke ;Alan Moore, Brian Bolland, Tim Sale;en;Intermediate;Apr 36;113855;455.4;Random;1.0;Children’s
1952;Invisible Man;Ralph Ellison;en;Intermediate;Mrz 84;123073;455.4;Amazon Digital Services,  Inc,;1.0;Horror
2007;A Long Way Gone, Memoirs of a Boy Soldier;Ishmael Beah;en;Intermediate;Apr 14;116260;3643.44;Amazon Digital Services,  Inc,;0.0;Children’s
1971;Mrs, Frisby and the Rats of NIMH;Robert C, O'Brien;en;Intermediate;Apr 13;135978;1815.45;Amazon Digital Services,  Inc,;1.0;Nonfiction
1982;Different Seasons;Stephen King;en;Intermediate;Apr 34;105961;5000.45;Simon and Schuster Digital Sales Inc;1.0;Science Fiction
1953;The Little House Collection;Laura Ingalls Wilder, Garth Williams;en;Intermediate;Apr 33;124320;5195910.0;Random;1.0;Satire
1998;The Girls' Guide to Hunting and Fishing;Melissa Bank;en;Novice;Mrz 29;113977;448.47;Amazon Digital Services,  Inc,;0.0;Nonfiction
2012;Wool Omnibus;Hugh Howey;en;Intermediate;Apr 24;81982;2250490.0;Penguin;1.0;Memoir
2002;Lamb: The Gospel According to Biff, Christ's Childhood Pal;Christopher Moore;en;Intermediate;Apr 26;118576;4792.5;Random;0.0;Fantasy
1997;The Power of Now;Eckhart Tolle;en;Intermediate;04. Jan;104549;4771.2;Penguin;0.0;Fantasy
2012;Let's Pretend This Never Happened (A Mostly True Memoir);Jenny  Lawson;en;Intermediate;03. Sep;118475;443520.0;Amazon Digital Services,  Inc,;0.0;Thriller
2006;The Lies of Locke Lamora;Scott Lynch;en;Intermediate;04. Mrz;118751;1324570.0;Simon and Schuster Digital Sales Inc;1.0;Nonfiction
1995;Sabriel;Garth Nix;en;Intermediate;Apr 17;137047;8811180.0;Random;1.0;Fantasy
2009;Dead and Gone;Charlaine Harris;en;Intermediate;04. Jan;145157;2175640.0;Random;0.0;Thriller
2013;The Storyteller;Jodi Picoult;en;Intermediate;Apr 26;109313;430.65;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2011;Obsidian;Jennifer L, Armentrout;en;Intermediate;Apr 23;164832;5191670.0;Penguin;0.0;Young Adult
1982;Life, the Universe and Everything;Douglas Adams;en;Intermediate;Apr 19;131562;2593670.0;Hachette;1.0;Science Fiction
2013;Crown of Midnight;Sarah J, Maas;en;Famous;Apr 49;160485;426690.0;Amazon Digital Services,  Inc,;0.0;Young Adult
2004;Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life;Bryan Lee O'Malley;en;Intermediate;Apr 18;126864;425.7;Random;1.0;Graphic Novel
