Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Gross_Sales,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold
2002,Nicht Bestseller Buch 19,Autor 74,ES,3.26,2.74,2,Science Fiction,130,1626.56,15.32,844299,Verlag C,130
2017,Nicht Bestseller Buch 20,Autor 46,DE,2.69,2.94,9,Biografie,1192,8237.45,7.67,963534,Verlag B,1192
2000,Nicht Bestseller Buch 21,Autor 76,ES,3.26,3.42,6,Roman,842,9598.39,14.23,475728,Selbstverlag,842
2006,Nicht Bestseller Buch 22,Autor 8,DE,2.39,1.66,10,Roman,1180,14143.75,9.27,459747,Selbstverlag,1180
2018,Nicht Bestseller Buch 23,Autor 178,FR,2.98,1.74,7,Biografie,1288,15734.56,20.29,644736,Verlag B,1288
2008,Nicht Bestseller Buch 24,Autor 58,FR,3.33,2.44,3,Biografie,1408,10254.96,7.76,446605,Verlag C,1408
2007,Nicht Bestseller Buch 25,Autor 44,EN,2.04,3.15,14,Science Fiction,901,4878.36,11.21,370724,Selbstverlag,901
2006,Nicht Bestseller Buch 26,Autor 187,DE,2.11,2.53,11,Science Fiction,1752,13125.06,13.14,897742,Verlag B,1752
2004,Nicht Bestseller Buch 27,Autor 134,FR,3.15,2.85,10,Fantasy,1873,17459.35,24.81,813733,Verlag C,1873
2013,Nicht Bestseller Buch 28,Autor 76,ES,2.89,2.5,13,Fantasy,1996,16931.11,7.34,560847,Selbstverlag,1996
2002,Nicht Bestseller Buch 29,Autor 175,EN,2.37,2.55,1,Biografie,591,6283.33,8.01,451407,Verlag B,591
2005,Nicht Bestseller Buch 30,Autor 49,ES,2.04,3.18,0,Thriller,1390,13479.29,24.99,818380,Selbstverlag,1390
2018,Nicht Bestseller Buch 31,Autor 126,FR,3.27,1.54,4,Science Fiction,340,3502.57,23.91,433218,Verlag A,340
2007,Nicht Bestseller Buch 32,Autor 168,EN,2.82,2.44,6,Sachbuch,688,5236.67,20.05,695325,Verlag A,688
2006,Nicht Bestseller Buch 33,Autor 19,DE,3.09,2.97,6,Fantasy,240,1301.01,7.09,616202,Verlag A,240
2024,Nicht Bestseller Buch 34,Autor 11,EN,2.79,1.79,13,Sachbuch,1324,8309.6,24.35,688730,Verlag C,1324
2008,Nicht Bestseller Buch 35,Autor 134,EN,3.29,3.06,11,Fantasy,1721,14236.16,16.21,607865,Verlag B,1721
2023,Nicht Bestseller Buch 36,Autor 99,DE,2.48,1.63,3,Science Fiction,459,4022.67,9.93,535787,Verlag A,459
2005,Nicht Bestseller Buch 37,Autor 82,ES,3.4,1.88,14,Thriller,1489,22138.33,24.0,376535,Verlag B,1489
2002,Nicht Bestseller Buch 38,Autor 84,DE,3.06,3.0,11,Roman,1973,10586.55,21.3,346018,Verlag B,1973
2004,Nicht Bestseller Buch 39,Autor 16,DE,3.34,3.47,9,Biografie,705,9330.86,17.2,486506,Verlag A,705
2006,Nicht Bestseller Buch 40,Autor 32,EN,2.39,1.77,4,Biografie,1921,23906.16,11.3,724423,Selbstverlag,1921
2000,Nicht Bestseller Buch 41,Autor 42,DE,2.83,3.17,3,Fantasy,674,7339.09,15.67,763692,Verlag B,674
2005,Nicht Bestseller Buch 42,Autor 60,EN,3.39,1.72,0,Thriller,1641,16596.22,12.17,365977,Verlag B,1641
2012,Nicht Bestseller Buch 43,Autor 12,EN,2.15,2.26,3,Science Fiction,1488,16213.62,18.61,992890,Selbstverlag,1488
2023,Nicht Bestseller Buch 44,Autor 161,ES,2.28,1.89,5,Roman,1286,7539.43,21.09,587550,Verlag B,1286
2011,Nicht Bestseller Buch 45,Autor 29,ES,2.0,1.93,7,Sachbuch,1903,17776.67,9.88,364515,Verlag A,1903
2018,Nicht Bestseller Buch 46,Autor 101,ES,2.22,3.13,15,Fantasy,1769,15509.25,15.48,976912,Verlag C,1769
2007,Nicht Bestseller Buch 47,Autor 48,FR,2.25,2.27,13,Roman,1850,22809.98,12.26,310124,Verlag A,1850
2007,Nicht Bestseller Buch 48,Autor 60,EN,2.87,2.68,8,Thriller,711,9567.54,21.32,853984,Selbstverlag,711
2013,Nicht Bestseller Buch 49,Autor 75,FR,2.68,2.88,8,Science Fiction,1922,25403.45,22.6,728797,Verlag C,1922
2024,Nicht Bestseller Buch 50,Autor 124,DE,2.35,3.16,12,Fantasy,1076,7235.3,24.55,603127,Verlag B,1076
2018,Nicht Bestseller Buch 51,Autor 21,FR,2.01,2.27,6,Fantasy,163,2227.61,6.63,546046,Selbstverlag,163
2016,Nicht Bestseller Buch 52,Autor 190,ES,2.18,2.0,13,Sachbuch,1616,16730.15,16.56,775055,Verlag A,1616
2024,Nicht Bestseller Buch 53,Autor 124,ES,2.04,1.95,13,Roman,1018,14977.22,23.23,396884,Verlag C,1018
2016,Nicht Bestseller Buch 54,Autor 59,ES,2.35,2.59,4,Thriller,244,1448.55,23.89,565919,Verlag C,244
2007,Nicht Bestseller Buch 55,Autor 109,FR,2.92,2.77,14,Science Fiction,956,9917.81,9.9,760412,Verlag B,956
2015,Nicht Bestseller Buch 56,Autor 118,ES,2.16,3.02,2,Sachbuch,489,5674.15,20.29,676253,Selbstverlag,489
2007,Nicht Bestseller Buch 57,Autor 111,ES,3.0,2.3,1,Science Fiction,749,8280.47,16.72,733314,Selbstverlag,749
2005,Nicht Bestseller Buch 58,Autor 53,EN,3.09,2.62,4,Roman,152,1535.09,11.79,647172,Verlag B,152
2002,Nicht Bestseller Buch 59,Autor 28,ES,3.38,2.06,12,Roman,494,4351.22,24.01,767034,Verlag A,494
2019,Nicht Bestseller Buch 60,Autor 133,ES,2.53,2.97,3,Sachbuch,506,3241.35,13.32,836954,Verlag B,506
2016,Nicht Bestseller Buch 61,Autor 44,ES,2.2,2.38,10,Roman,1081,8374.21,23.2,774235,Verlag C,1081
2015,Nicht Bestseller Buch 62,Autor 189,EN,3.01,3.32,12,Science Fiction,112,991.62,6.02,905593,Verlag B,112
2014,Nicht Bestseller Buch 63,Autor 119,EN,2.66,3.06,8,Sachbuch,1280,10189.59,6.67,648630,Verlag B,1280
2005,Nicht Bestseller Buch 64,Autor 101,FR,2.51,3.36,9,Biografie,1799,10509.37,15.38,585975,Verlag C,1799
2017,Nicht Bestseller Buch 65,Autor 38,FR,2.35,3.24,3,Biografie,779,11609.53,23.75,614725,Selbstverlag,779
2023,Nicht Bestseller Buch 66,Autor 108,ES,2.64,1.64,6,Thriller,1669,20905.45,6.65,779290,Verlag C,1669
2024,Nicht Bestseller Buch 67,Autor 26,DE,2.33,3.09,9,Roman,1356,13897.41,22.49,928210,Selbstverlag,1356
2020,Nicht Bestseller Buch 68,Autor 137,FR,3.28,2.57,7,Biografie,471,2842.0,9.24,905134,Selbstverlag,471
2022,Nicht Bestseller Buch 69,Autor 59,DE,3.26,2.95,11,Science Fiction,1434,14859.07,18.77,730228,Verlag A,1434
2004,Nicht Bestseller Buch 70,Autor 102,ES,2.8,2.9,14,Thriller,329,4320.75,17.75,837756,Verlag C,329
2015,Nicht Bestseller Buch 71,Autor 67,EN,3.41,2.71,0,Sachbuch,1807,13750.76,14.4,574567,Selbstverlag,1807
2008,Nicht Bestseller Buch 72,Autor 182,FR,3.13,3.08,7,Thriller,835,6877.84,20.34,371842,Selbstverlag,835
2000,Nicht Bestseller Buch 73,Autor 194,EN,2.8,2.48,8,Biografie,1162,7731.56,17.43,981974,Verlag C,1162
2007,Nicht Bestseller Buch 74,Autor 81,DE,2.05,1.93,15,Roman,1236,17461.83,6.37,353636,Verlag C,1236
2009,Nicht Bestseller Buch 75,Autor 86,DE,2.78,1.75,7,Thriller,1289,13553.06,8.87,797770,Selbstverlag,1289
2009,Nicht Bestseller Buch 76,Autor 80,FR,2.16,1.67,11,Roman,205,2572.85,6.17,534399,Verlag A,205
2001,Nicht Bestseller Buch 77,Autor 101,DE,2.36,2.16,10,Thriller,313,1652.47,18.96,555106,Selbstverlag,313
2001,Nicht Bestseller Buch 78,Autor 55,FR,2.7,2.77,5,Biografie,1673,15472.48,5.77,632161,Selbstverlag,1673
2019,Nicht Bestseller Buch 79,Autor 31,EN,3.48,3.44,7,Sachbuch,677,8120.79,20.05,309802,Verlag B,677
2018,Nicht Bestseller Buch 80,Autor 45,FR,2.98,1.96,15,Roman,1398,13897.35,13.51,929341,Selbstverlag,1398
2003,Nicht Bestseller Buch 81,Autor 132,ES,2.77,2.43,10,Thriller,410,6021.99,5.08,421368,Selbstverlag,410
2011,Nicht Bestseller Buch 82,Autor 46,EN,2.18,2.9,1,Science Fiction,1208,16311.98,9.49,309072,Verlag B,1208
2011,Nicht Bestseller Buch 83,Autor 129,EN,3.24,1.8,15,Sachbuch,172,1879.99,5.05,688201,Selbstverlag,172
2011,Nicht Bestseller Buch 84,Autor 16,ES,2.65,2.21,9,Roman,1008,5235.47,17.1,928828,Verlag C,1008
2002,Nicht Bestseller Buch 85,Autor 108,FR,3.49,2.7,7,Fantasy,716,8232.62,22.21,457544,Selbstverlag,716
2023,Nicht Bestseller Buch 86,Autor 56,ES,3.26,2.24,8,Roman,1459,21068.42,5.47,946560,Verlag C,1459
2015,Nicht Bestseller Buch 87,Autor 6,FR,3.27,2.24,15,Roman,871,9912.08,12.46,664838,Verlag A,871
2005,Nicht Bestseller Buch 88,Autor 54,ES,3.45,2.93,2,Biografie,1987,12125.3,13.98,991910,Verlag B,1987
2011,Nicht Bestseller Buch 89,Autor 109,FR,3.49,1.72,0,Roman,1614,10994.02,14.82,385253,Verlag C,1614
2012,Nicht Bestseller Buch 90,Autor 185,ES,2.17,2.17,7,Science Fiction,1713,14974.0,6.46,837752,Selbstverlag,1713
2002,Nicht Bestseller Buch 91,Autor 16,EN,2.22,2.35,3,Thriller,780,8270.21,10.17,476232,Verlag C,780
2001,Nicht Bestseller Buch 92,Autor 57,EN,2.95,2.25,15,Sachbuch,1706,12669.67,14.82,769246,Selbstverlag,1706
2010,Nicht Bestseller Buch 93,Autor 177,FR,2.13,1.92,4,Roman,1351,20129.71,6.1,770725,Selbstverlag,1351
2011,Nicht Bestseller Buch 94,Autor 15,ES,2.27,1.9,8,Roman,274,2914.16,11.44,722203,Verlag C,274
2023,Nicht Bestseller Buch 95,Autor 109,FR,3.45,2.39,7,Thriller,1813,22384.18,10.41,898647,Verlag B,1813
2000,Nicht Bestseller Buch 96,Autor 176,FR,2.48,2.19,15,Biografie,820,7653.39,15.73,466464,Selbstverlag,820
2009,Nicht Bestseller Buch 97,Autor 161,EN,2.85,2.05,10,Sachbuch,1604,21353.15,18.77,525022,Verlag B,1604
2002,Nicht Bestseller Buch 98,Autor 115,EN,3.32,1.74,7,Sachbuch,1522,9637.49,20.48,753556,Selbstverlag,1522
2021,Nicht Bestseller Buch 99,Autor 46,ES,3.46,2.03,5,Biografie,1128,13512.1,16.9,627927,Verlag C,1128
2024,Nicht Bestseller Buch 100,Autor 80,ES,3.11,2.94,14,Thriller,1111,6413.37,19.1,838145,Verlag B,1111
2018,Nicht Bestseller Buch 101,Autor 199,ES,2.13,3.02,10,Fantasy,1738,13192.0,21.74,371821,Verlag C,1738
2014,Nicht Bestseller Buch 102,Autor 146,DE,3.26,2.84,11,Thriller,1892,27712.25,10.64,866984,Selbstverlag,1892
2016,Nicht Bestseller Buch 103,Autor 128,FR,3.2,2.63,3,Biografie,1688,23790.37,22.04,741830,Verlag C,1688
2022,Nicht Bestseller Buch 104,Autor 94,EN,2.96,2.86,6,Science Fiction,1535,11686.22,23.42,540556,Verlag A,1535
2004,Nicht Bestseller Buch 105,Autor 196,FR,2.87,2.58,9,Science Fiction,1844,9674.67,21.27,390039,Selbstverlag,1844
2013,Nicht Bestseller Buch 106,Autor 19,DE,2.7,3.0,15,Roman,410,4555.26,20.62,737803,Selbstverlag,410
2016,Nicht Bestseller Buch 107,Autor 127,FR,3.35,2.76,5,Thriller,647,8458.5,17.75,839489,Verlag A,647
2013,Nicht Bestseller Buch 108,Autor 49,ES,3.11,2.86,7,Biografie,1030,11566.08,10.24,574687,Verlag B,1030
2004,Nicht Bestseller Buch 109,Autor 56,FR,2.34,2.27,8,Biografie,324,3156.58,21.76,436873,Selbstverlag,324
2020,Nicht Bestseller Buch 110,Autor 189,ES,3.35,2.76,7,Fantasy,1978,10014.27,24.34,858890,Verlag C,1978
2015,Nicht Bestseller Buch 111,Autor 147,ES,2.27,1.9,4,Fantasy,1507,17668.85,10.32,838078,Verlag A,1507
2024,Nicht Bestseller Buch 112,Autor 33,EN,2.84,2.53,0,Thriller,1268,7299.43,15.08,714503,Verlag C,1268
2022,Nicht Bestseller Buch 113,Autor 48,FR,2.64,2.23,0,Fantasy,327,3556.44,10.17,704449,Verlag A,327
2001,Nicht Bestseller Buch 114,Autor 45,ES,3.24,3.41,12,Thriller,1139,16580.71,13.31,909825,Selbstverlag,1139
2017,Nicht Bestseller Buch 115,Autor 47,FR,2.12,2.58,1,Sachbuch,855,7277.04,19.4,841285,Verlag C,855
2014,Nicht Bestseller Buch 116,Autor 75,EN,3.23,3.47,15,Biografie,1767,18670.92,8.49,909542,Verlag A,1767
2010,Nicht Bestseller Buch 117,Autor 29,DE,3.03,1.88,0,Science Fiction,442,5536.57,7.77,950850,Verlag A,442
2014,Nicht Bestseller Buch 118,Autor 168,EN,3.19,2.19,0,Fantasy,1193,9923.27,18.98,418933,Verlag B,1193
2024,Nicht Bestseller Buch 119,Autor 103,ES,2.18,2.17,12,Sachbuch,1782,14537.36,23.48,372308,Verlag B,1782
2009,Nicht Bestseller Buch 120,Autor 61,DE,2.58,3.15,5,Thriller,1605,10143.0,10.19,753841,Selbstverlag,1605
2019,Nicht Bestseller Buch 121,Autor 167,ES,2.73,2.57,7,Science Fiction,967,11824.79,21.1,364348,Verlag B,967
2015,Nicht Bestseller Buch 122,Autor 162,FR,2.15,3.32,3,Roman,1456,19890.73,20.23,786110,Verlag A,1456
2017,Nicht Bestseller Buch 123,Autor 163,EN,2.06,2.95,1,Roman,1410,18865.57,15.26,402364,Selbstverlag,1410
2009,Nicht Bestseller Buch 124,Autor 126,FR,2.94,2.03,5,Science Fiction,202,1876.06,10.06,749588,Verlag C,202
2019,Nicht Bestseller Buch 125,Autor 87,DE,2.62,2.88,0,Science Fiction,721,6683.32,18.42,843551,Verlag C,721
2014,Nicht Bestseller Buch 126,Autor 176,DE,2.08,1.58,4,Thriller,728,8523.64,23.9,354071,Verlag A,728
2001,Nicht Bestseller Buch 127,Autor 48,FR,3.13,2.13,6,Sachbuch,1150,7689.39,16.21,975727,Verlag A,1150
2015,Nicht Bestseller Buch 128,Autor 38,DE,2.14,1.98,12,Fantasy,656,3696.97,15.47,314204,Verlag A,656
2007,Nicht Bestseller Buch 129,Autor 119,EN,2.94,3.17,8,Thriller,502,3797.41,23.25,490687,Selbstverlag,502
2013,Nicht Bestseller Buch 130,Autor 20,ES,2.92,2.36,6,Sachbuch,1810,20787.2,9.64,875060,Verlag A,1810
2015,Nicht Bestseller Buch 131,Autor 149,FR,2.01,2.6,4,Roman,663,7052.2,7.02,804176,Selbstverlag,663
2006,Nicht Bestseller Buch 132,Autor 22,FR,2.33,2.71,2,Science Fiction,1632,16634.0,11.79,968923,Selbstverlag,1632
2015,Nicht Bestseller Buch 133,Autor 25,DE,3.28,1.61,13,Science Fiction,762,7317.0,24.23,416317,Verlag C,762
2010,Nicht Bestseller Buch 134,Autor 157,ES,2.35,1.58,11,Fantasy,1914,24605.4,8.22,489409,Verlag B,1914
2018,Nicht Bestseller Buch 135,Autor 179,DE,3.12,2.62,14,Roman,1205,18001.15,14.85,835210,Verlag C,1205
2007,Nicht Bestseller Buch 136,Autor 176,DE,2.64,3.11,12,Fantasy,1741,20252.45,9.65,772675,Verlag B,1741
2008,Nicht Bestseller Buch 137,Autor 13,EN,2.62,3.08,12,Sachbuch,528,3748.82,9.08,596117,Verlag B,528
2015,Nicht Bestseller Buch 138,Autor 179,EN,3.2,2.35,1,Biografie,1188,7269.72,15.11,526970,Verlag A,1188
2017,Nicht Bestseller Buch 139,Autor 100,EN,3.44,1.96,13,Fantasy,1933,14222.5,12.41,470749,Verlag A,1933
2011,Nicht Bestseller Buch 140,Autor 72,EN,3.0,3.39,1,Science Fiction,1634,21597.25,20.43,927055,Selbstverlag,1634
2008,Nicht Bestseller Buch 141,Autor 92,FR,3.46,2.62,8,Thriller,1127,10720.84,9.07,310445,Verlag B,1127
2012,Nicht Bestseller Buch 142,Autor 133,EN,2.83,2.95,4,Sachbuch,278,2669.34,17.51,803171,Verlag A,278
2009,Nicht Bestseller Buch 143,Autor 45,DE,2.96,3.2,8,Biografie,265,2341.2,23.5,410169,Verlag C,265
2009,Nicht Bestseller Buch 144,Autor 124,ES,3.49,3.01,7,Thriller,801,5427.58,24.79,893123,Verlag B,801
2002,Nicht Bestseller Buch 145,Autor 189,FR,3.2,2.41,8,Fantasy,1473,16562.15,18.7,651965,Verlag A,1473
2016,Nicht Bestseller Buch 146,Autor 195,DE,2.55,2.16,13,Biografie,116,1629.06,9.63,559341,Verlag B,116
2007,Nicht Bestseller Buch 147,Autor 42,FR,3.4,2.94,13,Biografie,1562,16440.05,14.7,565907,Verlag A,1562
2020,Nicht Bestseller Buch 148,Autor 200,EN,2.9,3.04,2,Biografie,1635,8782.13,20.89,894346,Verlag A,1635
2004,Nicht Bestseller Buch 149,Autor 169,ES,2.02,2.41,2,Thriller,794,11715.03,19.8,769927,Verlag C,794
2022,Nicht Bestseller Buch 150,Autor 126,ES,2.91,2.97,8,Biografie,896,7615.76,11.86,545198,Verlag B,896
2016,Nicht Bestseller Buch 151,Autor 147,EN,2.28,3.27,8,Thriller,169,1988.75,20.86,463260,Verlag C,169
2024,Nicht Bestseller Buch 152,Autor 25,FR,2.45,1.52,15,Roman,738,9360.9,11.63,884805,Selbstverlag,738
2013,Nicht Bestseller Buch 153,Autor 50,ES,3.48,3.4,0,Science Fiction,1637,20057.26,13.69,701709,Verlag C,1637
2000,Nicht Bestseller Buch 154,Autor 185,EN,2.33,1.83,8,Thriller,950,9874.07,16.05,542716,Verlag B,950
2002,Nicht Bestseller Buch 155,Autor 73,ES,2.46,2.4,0,Sachbuch,1038,10826.15,6.09,794220,Selbstverlag,1038
2021,Nicht Bestseller Buch 156,Autor 121,FR,2.39,2.05,7,Thriller,1975,17314.25,16.06,920579,Verlag B,1975
2022,Nicht Bestseller Buch 157,Autor 45,DE,3.13,1.74,1,Thriller,1651,22906.0,16.7,760164,Verlag C,1651
2003,Nicht Bestseller Buch 158,Autor 145,EN,2.04,1.98,7,Sachbuch,1150,6958.18,18.8,553613,Verlag A,1150
2020,Nicht Bestseller Buch 159,Autor 17,ES,3.18,1.79,1,Thriller,1411,17751.13,16.66,673417,Verlag B,1411
2002,Nicht Bestseller Buch 160,Autor 119,EN,2.31,1.71,5,Thriller,513,5313.91,21.04,887132,Verlag B,513
2005,Nicht Bestseller Buch 161,Autor 191,DE,2.62,2.05,14,Fantasy,747,6391.37,21.08,842111,Selbstverlag,747
2006,Nicht Bestseller Buch 162,Autor 151,ES,3.19,2.59,10,Science Fiction,792,5150.07,23.52,494998,Verlag A,792
2008,Nicht Bestseller Buch 163,Autor 133,FR,2.89,2.29,13,Roman,1051,10408.63,8.55,478006,Verlag A,1051
2003,Nicht Bestseller Buch 164,Autor 154,FR,3.02,2.74,12,Science Fiction,1233,10466.87,12.74,893359,Verlag A,1233
2007,Nicht Bestseller Buch 165,Autor 59,FR,2.39,2.25,4,Science Fiction,1735,18503.03,9.55,940347,Verlag C,1735
2018,Nicht Bestseller Buch 166,Autor 47,EN,2.88,2.29,3,Science Fiction,495,6986.2,14.24,996757,Selbstverlag,495
2013,Nicht Bestseller Buch 167,Autor 69,EN,3.23,2.85,2,Fantasy,1580,8022.08,22.2,359810,Verlag A,1580
2012,Nicht Bestseller Buch 168,Autor 181,ES,2.32,3.18,6,Roman,788,5116.0,10.86,983417,Verlag C,788
2008,Nicht Bestseller Buch 169,Autor 117,EN,2.03,2.01,4,Roman,1625,10810.92,17.41,868692,Verlag B,1625
2012,Nicht Bestseller Buch 170,Autor 140,EN,2.09,3.27,4,Roman,207,2811.1,6.13,947114,Verlag B,207
2014,Nicht Bestseller Buch 171,Autor 169,DE,2.87,2.72,11,Thriller,329,3532.96,24.64,727296,Verlag A,329
2001,Nicht Bestseller Buch 172,Autor 21,ES,2.98,2.53,10,Science Fiction,491,3699.63,5.8,388928,Verlag C,491
2010,Nicht Bestseller Buch 173,Autor 115,EN,2.2,1.7,5,Roman,1031,5471.08,21.28,341018,Verlag C,1031
2019,Nicht Bestseller Buch 174,Autor 193,DE,3.38,2.21,4,Roman,1370,10568.74,22.23,365801,Verlag B,1370
2000,Nicht Bestseller Buch 175,Autor 166,EN,2.15,1.7,3,Science Fiction,1319,15546.1,9.89,674605,Selbstverlag,1319
2005,Nicht Bestseller Buch 176,Autor 186,EN,2.82,1.94,12,Roman,1689,15776.03,8.55,758027,Verlag A,1689
2007,Nicht Bestseller Buch 177,Autor 156,FR,2.07,1.95,1,Science Fiction,1946,15847.45,23.3,624608,Verlag C,1946
2015,Nicht Bestseller Buch 178,Autor 164,EN,2.61,2.97,1,Roman,527,4753.7,21.4,694019,Verlag B,527
2006,Nicht Bestseller Buch 179,Autor 24,ES,3.49,1.96,12,Fantasy,584,5442.67,18.73,745310,Verlag C,584
2002,Nicht Bestseller Buch 180,Autor 98,FR,2.26,3.14,4,Sachbuch,1894,26533.46,23.79,472759,Verlag A,1894
2023,Nicht Bestseller Buch 181,Autor 36,FR,2.52,2.46,8,Fantasy,739,9035.52,5.4,444559,Selbstverlag,739
2022,Nicht Bestseller Buch 182,Autor 127,DE,2.29,2.42,1,Fantasy,1776,26458.1,24.87,979011,Selbstverlag,1776
2018,Nicht Bestseller Buch 183,Autor 84,DE,2.7,3.37,4,Biografie,1432,13670.04,22.06,607415,Selbstverlag,1432
2015,Nicht Bestseller Buch 184,Autor 106,FR,3.21,3.23,15,Sachbuch,488,5668.2,15.81,779682,Verlag C,488
2000,Nicht Bestseller Buch 185,Autor 106,FR,3.34,2.11,12,Biografie,259,3767.07,13.92,880637,Verlag C,259
2008,Nicht Bestseller Buch 186,Autor 71,FR,2.19,2.63,14,Thriller,1243,8065.35,24.35,722630,Selbstverlag,1243
2023,Nicht Bestseller Buch 187,Autor 55,FR,3.24,3.09,12,Roman,1523,18923.12,16.78,324628,Verlag B,1523
2021,Nicht Bestseller Buch 188,Autor 68,EN,2.35,3.32,2,Sachbuch,1882,22048.53,11.57,784896,Verlag B,1882
2011,Nicht Bestseller Buch 189,Autor 75,DE,2.0,1.96,11,Biografie,704,7162.35,19.24,365567,Verlag C,704
2012,Nicht Bestseller Buch 190,Autor 117,DE,2.46,3.49,12,Roman,1224,17876.53,19.03,318724,Verlag C,1224
2003,Nicht Bestseller Buch 191,Autor 194,FR,2.62,2.31,8,Thriller,347,2857.68,24.71,566334,Verlag B,347
2014,Nicht Bestseller Buch 192,Autor 66,DE,3.18,2.4,1,Science Fiction,1141,6363.3,16.82,684945,Verlag B,1141
2011,Nicht Bestseller Buch 193,Autor 27,EN,2.36,2.11,15,Sachbuch,507,2942.49,18.94,403016,Verlag A,507
2023,Nicht Bestseller Buch 194,Autor 171,ES,2.7,2.44,7,Sachbuch,1311,15133.98,11.02,311967,Verlag B,1311
2004,Nicht Bestseller Buch 195,Autor 43,FR,2.66,3.14,13,Roman,1189,13926.74,19.46,902133,Verlag B,1189
2003,Nicht Bestseller Buch 196,Autor 173,DE,2.54,1.58,9,Thriller,1941,15599.65,13.97,650077,Verlag A,1941
2001,Nicht Bestseller Buch 197,Autor 119,EN,2.4,3.3,4,Roman,1255,16961.04,24.38,760499,Verlag A,1255
2011,Nicht Bestseller Buch 198,Autor 135,ES,3.26,1.9,10,Thriller,513,4792.57,15.14,728000,Verlag C,513
2006,Nicht Bestseller Buch 199,Autor 58,DE,2.85,3.05,3,Biografie,304,3449.9,21.42,691300,Verlag B,304
2001,Nicht Bestseller Buch 200,Autor 13,ES,3.06,1.52,8,Sachbuch,836,8467.13,9.72,719685,Verlag C,836
2022,Nicht Bestseller Buch 201,Autor 169,ES,3.35,3.19,4,Biografie,875,12753.96,24.51,424217,Selbstverlag,875
2004,Nicht Bestseller Buch 202,Autor 69,EN,3.48,2.7,5,Fantasy,1498,19762.36,23.16,785878,Verlag C,1498
2020,Nicht Bestseller Buch 203,Autor 101,ES,2.04,2.22,12,Biografie,1321,19292.02,18.78,455262,Verlag C,1321
2015,Nicht Bestseller Buch 204,Autor 25,FR,3.0,1.56,10,Sachbuch,1834,21839.58,14.81,626034,Verlag B,1834
2015,Nicht Bestseller Buch 205,Autor 128,EN,3.13,2.91,8,Science Fiction,853,8068.06,6.32,683894,Selbstverlag,853
2020,Nicht Bestseller Buch 206,Autor 166,ES,3.0,2.91,12,Science Fiction,753,8546.59,5.09,994672,Verlag B,753
2019,Nicht Bestseller Buch 207,Autor 156,ES,3.38,1.73,14,Thriller,1521,13298.72,21.42,739527,Verlag A,1521
2007,Nicht Bestseller Buch 208,Autor 138,DE,2.16,2.6,5,Roman,412,4036.77,23.18,951110,Verlag A,412
