Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre;Gross_Sales;Publisher_Revenue_Verlagumsatz;Sale_Price;Sale_Rank;Publisher;Units_Sold;Verfilmt?;;
1993;The Virgin Suicides;Jeffrey Eugenides;eng;Intermediate;30376;159249;genre fiction;26904.06;16.142.436;33.512,00;28;Penguin Group (USA) LLC;2466;Ja;;
2004;Dead to the World;Charlaine Harris;eng;Intermediate;41365;199572;genre fiction;2376.0;0.0;0.99;29;Amazon Digital Services,  Inc.;2400;Nein;;
1891;Tess of the d'Urbervilles: A Pure Woman Faithfully Presented;Thomas Hardy, Tim Dolin, Margaret R. Higonnet;eng;Intermediate;28185;171599;nonfiction;9576.0;5745.6;36.220,00;29;Hachette Book Group;2400;Ja;;
1856;Madame Bovary;Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall;eng;Intermediate;23437;158877;genre fiction;9308.67;0.0;36.220,00;30;Amazon Digital Services,  Inc.;2333;Ja;;
1961;The Phantom Tollbooth;Norton Juster, Jules Feiffer;en-US;Intermediate;44652;178432;genre fiction;4509.34;0.0;36.161,00;31;Amazon Digital Services,  Inc.;2266;Ja;;
2010;The Way of Kings;Brandon Sanderson;eng;Famous;23468;144822;genre fiction;2178.0;0.0;0.99;32;Amazon Digital Services,  Inc.;2200;Nein;;
2003;Club Dead;Charlaine Harris;en-GB;Intermediate;45720;181323;genre fiction;13178.0;7906.8;36.281,00;32;HarperCollins Publishers;2200;Nein;;
2006;It's Kind of a Funny Story;Ned Vizzini;en-US;Intermediate;41730;161001;nonfiction;2045.34;1.227.204;0.99;34;HarperCollins Publishers;2066;Ja;;
2007;;Brandon Sanderson;eng;Intermediate;12875;150736;genre fiction;17980.0;10788.0;36.373,00;35;Random House LLC;2000;;;
2015;After You;Jojo Moyes;eng;Intermediate;45841;99342;genre fiction;1964.16;0.0;0.99;36;Amazon Digital Services,  Inc.;1984;Nein;;
2011;The Language of Flowers;Vanessa Diffenbaugh;eng;Intermediate;45842;140076;genre fiction;1964.16;1.178.496;0.99;36;Amazon Digital Services,  Inc.;1984;Nein;;
1986;Batman: The Dark Knight Returns;Frank Miller, Klaus Janson, Lynn Varley;eng;Intermediate;45748;135979;genre fiction;1949.31;0.0;0.99;37;Amazon Digital Services,  Inc.;1969;Ja (animiert);;
2005;The Angel Experiment;James Patterson;eng;Intermediate;45873;172302;genre fiction;1949.31;0.0;0.99;37;Amazon Digital Services,  Inc.;1969;Nein;;
1995;High Fidelity;Nick Hornby;eng;Intermediate;34394;134849;genre fiction;20309.55;12185.73;24.016,00;41;Random House LLC;1907;Ja;;
2003;The Guardian;Nicholas Sparks;en-US;Intermediate;41730;136427;genre fiction;1873.08;0.0;0.99;42;Amazon Digital Services,  Inc.;1892;Ja;;
2003;Oryx and Crake;Margaret Atwood;eng;Intermediate;4.0;151500;genre fiction;7485.24;0.0;36.220,00;43;Amazon Digital Services,  Inc.;1876;Nein;;
1998;Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships;John Gray;en-US;Intermediate;19054;113915;genre fiction;3703.39;2.222.034;36.161,00;44;Amazon Digital Services,  Inc.;1861;Nein;;
2000;Kitchen Confidential: Adventures in the Culinary Underbelly;Anthony Bourdain;eng;Intermediate;4.0;134177;genre fiction;11057.54;6.634.524;36.281,00;45;HarperCollins Publishers;1846;Ja (TV-Serie);;
1999;Timeline;Michael Crichton;en-US;Intermediate;30376;148563;genre fiction;12791.7;7675.02;36.312,00;46;Amazon Digital Services,  Inc.;1830;Ja;;
1759;Candide;Voltaire;eng;Intermediate;27820;151471;genre fiction;8982.0;0.0;36.251,00;48;Amazon Digital Services,  Inc.;1800;Ja;;
1975;Tuck Everlasting;Natalie Babbitt;eng;Intermediate;31107;174280;nonfiction;3582.0;2149.2;36.161,00;48;Amazon Digital Services,  Inc.;1800;Ja;;
1983;Christine;Stephen King, Marie Milpois;fre;Intermediate;26359;151160;nonfiction;1766.16;1.059.696;0.99;49;Amazon Digital Services,  Inc.;1784;Ja;;
1960;Are You My Mother?;P.D. Eastman;eng;Intermediate;42461;174204;genre fiction;10596.31;6.357.786;36.281,00;50;Penguin Group (USA) LLC;1769;Nein;;
1950;The Story of Art;E.H. Gombrich;en-US;Intermediate;30376;164708;genre fiction;15058.27;9.034.962;21.763,00;51;Hachette Book Group;1753;Nein;;
2013;Scarlet;Marissa Meyer;eng;Intermediate;45720;193766;genre fiction;1720.62;1.032.372;0.99;52;Amazon Digital Services,  Inc.;1738;Nein;;
1997;Rich Dad , Poor Dad;Robert T. Kiyosaki;eng;Intermediate;34759;153764;genre fiction;1705.77;1.023.462;0.99;53;Random House LLC;1723;Nein;;
2011;Silence ;Becca Fitzpatrick;eng;Intermediate;42461;190722;genre fiction;8517.93;0.0;36.251,00;54;Amazon Digital Services,  Inc.;1707;Ja;;
2009;The Magicians;Lev Grossman;eng;Novice;17227;147908;genre fiction;1675.08;1.005.048;0.99;55;Macmillan;1692;Ja (TV-Serie);;
2004;ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ);Tsugumi Ohba, Takeshi Obata;eng;Famous;15432;139501;genre fiction;6687.24;0.0;36.220,00;56;Amazon Digital Services,  Inc.;1676;;;
2003;A Great and Terrible Beauty;Libba Bray;eng;Intermediate;28915;173613;genre fiction;4966.39;2.979.834;36.192,00;57;Penguin Group (USA) LLC;1661;Ja;;
2002;Everything Is Illuminated;Jonathan Safran Foer;eng;Intermediate;45903;131492;genre fiction;1629.54;977.724;0.99;58;Amazon Digital Services,  Inc.;1646;Ja;;
1986;The Bourne Supremacy;Robert Ludlum;en-US;Intermediate;45904;142168;genre fiction;17783.3;10669.98;33.512,00;59;Penguin Group (USA) LLC;1630;Ja;;
2012;Easy;Tammara Webber;en-CA;Intermediate;45965;133937;genre fiction;1613.7;0.0;0.99;59;Amazon Digital Services,  Inc.;1630;Nein;;
1849;David Copperfield;Charles Dickens, Jeremy Tambling;eng;Intermediate;35125;150512;genre fiction;18394.85;11036.91;14.550,00;60;Hachette Book Group;1615;Ja;;
2007;The Absolutely True Diary of a Part-Time Indian;Sherman Alexie, Ellen Forney;eng;Intermediate;45965;160607;genre fiction;10384.0;6230.4;18.050,00;61;Random House LLC;1600;Nein;;
1967;ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°;Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer;eng;Intermediate;11780;131389;genre fiction;6320.16;0.0;36.220,00;62;Amazon Digital Services,  Inc.;1584;;;
1968;A Wizard of Earthsea;Ursula K. Le Guin;en-US;Intermediate;36220;155042;genre fiction;4707.0;0.0;3.0;63;Amazon Digital Services,  Inc.;1569;Nein;;
2000;Because of Winn-Dixie;Kate DiCamillo, Chris Sheban;eng;Intermediate;4.0;154476;genre fiction;1522.62;0.0;0.99;65;Amazon Digital Services,  Inc.;1538;Ja;;
1959;A Separate Peace;John Knowles;en-US;Intermediate;20515;155901;genre fiction;5924.47;0.0;32.568,00;66;Amazon Digital Services,  Inc.;1523;Ja;;
1995;The Rainmaker;John Grisham;eng;Intermediate;33298;137412;genre fiction;12040.93;0.0;36.342,00;67;Amazon Digital Services,  Inc.;1507;Ja;;
1605;Don Quijote de La Mancha;Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford;eng;Intermediate;31107;134931;genre fiction;13413.08;8.047.848;36.373,00;68;Hachette Book Group;1492;Ja;;
1995;Assassin's Apprentice;Robin Hobb;eng;Intermediate;41730;132777;genre fiction;2907.39;0.0;36.161,00;70;Amazon Digital Services,  Inc.;1461;Nein;;
1980;The Restaurant at the End of the Universe;Douglas Adams;eng;Intermediate;44652;153838;genre fiction;11553.54;6.932.124;36.342,00;71;Penguin Group (USA) LLC;1446;Nein;;
2010;Torment;Lauren Kate;eng;Intermediate;32568;174393;genre fiction;5705.7;0.0;36.220,00;72;Amazon Digital Services,  Inc.;1430;Nein;;
1901;The Tale of Peter Rabbit;Beatrix Potter;eng;Intermediate;42826;162373;genre fiction;9890.85;5934.51;36.312,00;73;Penguin Group (USA) LLC;1415;Ja;;
1953;The Silver Chair;C.S. Lewis, Pauline Baynes;eng;Intermediate;34759;170453;genre fiction;5245.36;3.147.216;28.915,00;75;Hachette Book Group;1384;Ja (geplant);;
2008;The Hero of Ages;Brandon Sanderson;eng;Famous;16893;143622;nonfiction;5826.64;3.495.984;44.287,00;75;Amazon Digital Services,  Inc.;1384;Nein;;
1993;Girl, Interrupted;Susanna Kaysen;eng;Intermediate;45903;145161;genre fiction;2724.31;1.634.586;36.161,00;76;Hachette Book Group;1369;Ja;;
2007;Are You There, Vodka? It's Me, Chelsea;Chelsea Handler;;Intermediate;31107;127096;genre fiction;5462.31;3.277.386;36.220,00;76;Hachette Book Group;1369;Ja;;
1970;Jonathan Livingston Seagull;Richard Bach, Russell Munson;en-US;Intermediate;45872;133728;genre fiction;6751.47;0.0;36.251,00;77;Amazon Digital Services,  Inc.;1353;Ja;;
2014;City of Heavenly Fire;Cassandra Clare;eng;Famous;17624;177796;genre fiction;6676.62;0.0;36.251,00;78;Amazon Digital Services,  Inc.;1338;Nein;;
1986;Love You Forever;Robert Munsch, Sheila McGraw;en-GB;Intermediate;12510;159703;genre fiction;1309.77;785.862;0.99;79;Amazon Digital Services,  Inc.;1323;Nein;;
2006;Cell;Stephen King;en-US;Intermediate;23437;144591;genre fiction;5933.78;3.560.268;19.815,00;80;HarperCollins Publishers;1307;Ja;;
2013;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Daniel James Brown;eng;Intermediate;11780;113565;genre fiction;8482.43;5.089.458;18.050,00;80;Hachette Book Group;1307;Nein;;
1977;The Silmarillion;J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith;eng;Intermediate;31837;134106;genre fiction;6447.08;3.868.248;36.251,00;81;Random House LLC;1292;Nein;;
1987;The Drawing of the Three;Stephen King;eng;Intermediate;45017;139052;nonfiction;2539.24;1.523.544;36.161,00;82;HarperCollins Publishers;1276;Nein;;
2008;The Forgotten Garden;Kate Morton;en-GB;Intermediate;45995;138377;genre fiction;4907.7;0.0;36.220,00;85;Amazon Digital Services,  Inc.;1230;Nein;;
1925;Der ProzeÃŸ;Franz Kafka, Edwin Muir, Willa Muir, Max Brod;eng;Intermediate;35855;131856;genre fiction;1202.85;0.0;0.99;86;Amazon Digital Services,  Inc.;1215;Ja;;
2002;This Lullaby;Sarah Dessen;eng;Intermediate;45720;151829;genre fiction;2417.85;1450.71;36.161,00;86;HarperCollins Publishers;1215;Nein;;
2000;Plain Truth;Jodi Picoult;eng;Intermediate;35490;128406;genre fiction;1188.0;0.0;0.99;87;Amazon Digital Services,  Inc.;1200;Ja;;
2010;Orange Is the New Black: My Year in a Women's Prison;Piper Kerman;eng;Intermediate;45841;127186;fiction;2388.0;0.0;36.161,00;87;Amazon Digital Services,  Inc.;1200;Ja (TV-Serie);;
1902;The Hound of the Baskervilles;Arthur Conan Doyle, Anne Perry;eng;Intermediate;45904;154517;genre fiction;2356.16;1.413.696;36.161,00;88;Macmillan;1184;Ja;;
2011;Thinking, Fast and Slow;Daniel Kahneman;eng;Intermediate;45873;136950;genre fiction;1157.31;694.386;0.99;89;Amazon Digital Services,  Inc.;1169;Nein;;
1982;The Mists of Avalon;Marion Zimmer Bradley;eng;Intermediate;45995;157736;genre fiction;1157.31;694.386;0.99;89;Amazon Digital Services,  Inc.;1169;Ja;;
1970;Are You There God? It's Me, Margaret;Judy Blume;eng;Intermediate;32568;151789;genre fiction;1111.77;0.0;0.99;92;Amazon Digital Services,  Inc.;1123;Ja;;
2002;Nights in Rodanthe;Nicholas Sparks;eng;Intermediate;30011;129807;genre fiction;5603.77;3.362.262;36.251,00;92;Amazon Digital Services,  Inc.;1123;Ja;;
2014;Mr. Mercedes;Stephen King;eng;Intermediate;33664;125847;genre fiction;2202.93;1.321.758;36.161,00;93;Macmillan;1107;Ja;;
2007;All Together Dead;Charlaine Harris;eng;Intermediate;45781;162689;genre fiction;6983.24;4.189.944;18.050,00;95;Random House LLC;1076;Ja (TV-Serie);;
1997;Midwives;Chris Bohjalian;en-US;Intermediate;35490;133155;genre fiction;6885.89;4.131.534;18.050,00;96;Random House LLC;1061;Nein;;
1985;The Polar Express;Chris Van Allsburg;en-US;Intermediate;47209;168001;nonfiction;1035.54;621.324;0.99;97;Amazon Digital Services,  Inc.;1046;Ja;;
1989;The True Story of the Three Little Pigs;Jon Scieszka, Lane Smith;en-GB;Intermediate;47209;141945;genre fiction;1019.7;0.0;0.99;98;Amazon Digital Services,  Inc.;1030;Ja;;
1987;Patriot Games;Tom Clancy;eng;Intermediate;45965;141674;genre fiction;6079.85;0.0;36.281,00;99;Amazon Digital Services,  Inc.;1015;Ja;;
1998;Veronika decide morrer;Paulo Coelho, Margaret Jull Costa;eng;Intermediate;25263;111856;genre fiction;6932.45;4159.47;30.468,00;99;Penguin Group (USA) LLC;1015;Ja;;
2013;Lean In: Women, Work, and the Will to Lead;Sheryl Sandberg, Nell Scovell;eng;Intermediate;34394;135635;genre fiction;985.05;0.0;0.99;101;Amazon Digital Services,  Inc.;995;Nein;Lean In: Women, Work, and the Will to Lead;
2005;Dead as a Doornail ;Charlaine Harris;eng;Intermediate;45661;169560;genre fiction;5068.8;3041.28;45.996,00;102;Penguin Group (USA) LLC;990;Nein;Dead as a Doornail ;
2011;Shatter Me (Shatter Me, #1);Tahereh Mafi;en-US;Intermediate;45661;176433;fiction;2195.2;1317.12;45.323,00;104;Amazon Digital Services,  Inc.;980;Ja;Shatter Me (Shatter Me, #1);
1959;Starship Troopers;Robert A. Heinlein;en-CA;Intermediate;36220;136886;genre fiction;7312.5;4387.5;45.784,00;105;Hachette Book Group;975;Ja;Starship Troopers;
2011;I've Got Your Number;Sophie Kinsella;eng;Intermediate;34029;144533;genre fiction;960.3;0.0;0.99;106;Amazon Digital Services,  Inc.;970;Nein;I've Got Your Number;
1991;Sofies Verden;Jostein Gaarder, Paulette MÃ¸ller;eng;Intermediate;32203;109692;genre fiction;10224.0;6134.4;24.016,00;108;Penguin Group (USA) LLC;960;Ja;Sofies Verden;
2011;;Mark Cotta Vaz;eng;Intermediate;45720;188136;genre fiction;7670.4;4602.24;36.342,00;108;Penguin Group (USA) LLC;960;;;
1950;The Martian Chronicles;Ray Bradbury;en-US;Intermediate;45995;143236;genre fiction;1880.55;0.0;36.161,00;111;Amazon Digital Services,  Inc.;945;Nein;The Martian Chronicles;
2010;A Visit From the Goon Squad;Jennifer Egan;eng;Intermediate;23437;120126;genre fiction;4690.6;2814.36;36.251,00;112;Macmillan;940;Ja;A Visit From the Goon Squad;
1880;Heidi;Johanna Spyri, Angelo  Rinaldi, Beverly Cleary;eng;Intermediate;35490;144497;genre fiction;3730.65;2238.39;36.220,00;113;Penguin Group (USA) LLC;935;Ja;Heidi;
2002;Prey;Michael Crichton;;Intermediate;26359;131352;genre fiction;1850.7;0.0;36.161,00;114;Amazon Digital Services,  Inc.;930;Ja;Prey;
1956;The Last Battle;C.S. Lewis;eng;Intermediate;45692;158701;genre fiction;5980.0;3588.0;45.783,00;116;Amazon Digital Services,  Inc.;920;Nein;The Last Battle;
2007;World Without End;Ken Follett;eng;Intermediate;45017;128715;genre fiction;905.85;543.51;0.99;117;Random House LLC;915;Nein;World Without End;
2008;Chosen: A House of Night Novel;P.C. Cast, Kristin Cast;en-US;Intermediate;45903;180961;fiction;7759.2;4655.52;17.746,00;117;Amazon Digital Services,  Inc.;915;Ja;Chosen: A House of Night Novel;
2012;Slammed;Colleen Hoover;eng;Intermediate;47209;153882;genre fiction;900.9;0.0;0.99;118;Amazon Digital Services,  Inc.;910;Ja;Slammed;
2007;Beastly (Beastly, #1, Kendra Chronicles, #1);Alex Flinn;eng;Intermediate;30742;150003;genre fiction;895.95;537.57;0.99;119;Amazon Digital Services,  Inc.;905;Ja;Beastly (Beastly, #1, Kendra Chronicles, #1);
1390;Tales of Caunterbury;Geoffrey Chaucer, Nevill Coghill;eng;Novice;17593;148480;genre fiction;891.0;0.0;0.99;120;Amazon Digital Services,  Inc.;900;Nein;Tales of Caunterbury;
2006;Baby Proof;Emily Giffin;en-US;Intermediate;25993;124371;nonfiction;5841.0;3504.6;18.050,00;120;Macmillan;900;Ja;Baby Proof;
2011;Inheritance;Christopher Paolini;en-US;Intermediate;45873;146905;nonfiction;10731.05;6438.63;36.465,00;121;Random House LLC;895;Ja;Inheritance;
2009;ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon];Haruki Murakami, Jay Rubin, Philip Gabriel;eng;Intermediate;32568;125195;genre fiction;2661.1;0.0;36.192,00;122;Amazon Digital Services,  Inc.;890;;ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon];
1852;Uncle Tom's Cabin or Life Among the Lowly;Harriet Beecher Stowe;eng;Intermediate;30376;137858;fiction;1771.1;1062.66;36.161,00;122;HarperCollins Publishers;890;Ja;Uncle Tom's Cabin or Life Among the Lowly;
1909;Le FantÃ´me de l'OpÃ©ra;Gaston Leroux, Alexander Teixeira de Mattos;eng;Intermediate;35490;141110;genre fiction;3531.15;0.0;36.220,00;123;Amazon Digital Services,  Inc.;885;Nein;Le FantÃ´me de l'OpÃ©ra;
2006;Definitely Dead (Sookie Stackhouse, #6);Charlaine Harris;en-US;Intermediate;45692;163054;genre fiction;6525.0;3915.0;45.784,00;126;Simon and Schuster Digital Sales Inc;870;Ja;Definitely Dead (Sookie Stackhouse, #6);
1995;Ensaio Sobre a Cegueira;JosÃ© Saramago, Giovanni Pontiero;en-US;Intermediate;45873;98738;genre fiction;3451.35;0.0;36.220,00;127;Amazon Digital Services,  Inc.;865;Nein;Ensaio Sobre a Cegueira;
2010;Freedom;Jonathan Franzen;en-US;Intermediate;26724;119213;genre fiction;6871.4;4122.84;36.342,00;128;Random House LLC;860;Nein;Freedom;
2011;Crossed;Ally Condie;eng;Intermediate;19054;100886;genre fiction;841.5;504.9;0.99;130;Amazon Digital Services,  Inc.;850;Nein;Crossed;
2006;I'd Tell You I Love You, But Then I'd Have to Kill You;Ally Carter;en-US;Intermediate;30011;150222;genre fiction;10131.55;6078.93;36.465,00;131;Hachette Book Group;845;Ja;I'd Tell You I Love You, But Then I'd Have to Kill You;
2008;The White Tiger;Aravind Adiga;eng;Intermediate;25993;114531;genre fiction;6711.6;4026.96;36.342,00;132;Random House LLC;840;Nein;The White Tiger;
2001;The Corrections;Jonathan Franzen;eng;Intermediate;28550;117657;genre fiction;816.75;0.0;0.99;135;Amazon Digital Services,  Inc.;825;Nein;The Corrections;
1995;Dreams from My Father;Barack Obama;eng;Intermediate;29646;128961;nonfiction;1641.75;985.05;36.161,00;135;HarperCollins Publishers;825;Ja;Dreams from My Father;
1980;Congo;Michael Crichton;eng;Intermediate;20149;129811;nonfiction;5696.85;3418.11;36.312,00;137;Random House LLC;815;Nein;Congo;
1972;Alexander and the Terrible, Horrible, No Good, Very Bad Day;Judith Viorst, Ray Cruz;en-CA;Intermediate;44652;146073;genre fiction;2421.9;0.0;36.192,00;138;Amazon Digital Services,  Inc.;810;Nein;Alexander and the Terrible, Horrible, No Good, Very Bad Day;
1999;Interpreter of Maladies;Jhumpa Lahiri;eng;Intermediate;45995;110651;genre fiction;8573.25;5143.95;24.016,00;139;Penguin Group (USA) LLC;805;Nein;Interpreter of Maladies;
1980;A People's History of the United States: 1492 to Present ;Howard Zinn;eng;Intermediate;45842;137372;genre fiction;3192.0;0.0;36.220,00;140;Amazon Digital Services,  Inc.;800;Ja;A People's History of the United States: 1492 to Present ;
1958;Breakfast at Tiffany's;Truman Capote;eng;Intermediate;32568;129778;genre fiction;792.0;475.2;0.99;140;Amazon Digital Services,  Inc.;800;Nein;Breakfast at Tiffany's;
2010;The Passage;Justin Cronin;eng;Intermediate;45751;126993;genre fiction;3172.05;0.0;36.220,00;141;Amazon Digital Services,  Inc.;795;Nein;The Passage;
2005;Anansi Boys;Neil Gaiman;eng;Intermediate;4.0;137639;nonfiction;1572.1;943.26;36.161,00;142;Amazon Digital Services,  Inc.;790;Nein;Anansi Boys;
2009;Along for the Ride;Sarah Dessen;eng;Intermediate;45873;151721;genre fiction;9412.15;5647.29;36.465,00;143;Penguin Group (USA) LLC;785;Ja;Along for the Ride;
2014;Everything I Never Told You;Celeste Ng;eng;Intermediate;28550;108703;genre fiction;3112.2;0.0;36.220,00;144;Amazon Digital Services,  Inc.;780;Ja;Everything I Never Told You;
1982;La casa de los espÃ­ritus;Isabel Allende, Magda Bogin;en-US;Intermediate;45692;119930;genre fiction;8269.25;4961.55;24.746,00;145;Simon and Schuster Digital Sales Inc;775;Ja;La casa de los espÃ­ritus;
1979;The Dead Zone;Stephen King;en-US;Intermediate;45903;132723;genre fiction;1512.4;907.44;36.161,00;148;HarperCollins Publishers;760;Nein;The Dead Zone;
1920;The Mysterious Affair at Styles;Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…;eng;Intermediate;35855;135514;genre fiction;3012.45;0.0;36.220,00;149;Amazon Digital Services,  Inc.;755;;The Mysterious Affair at Styles;
1934;Murder in the Calais Coach;Agatha Christie;eng;Intermediate;42461;138444;genre fiction;3742.5;0.0;36.251,00;150;Amazon Digital Services,  Inc.;750;Nein;Murder in the Calais Coach;
2013;Americanah;Chimamanda Ngozi Adichie;eng;Intermediate;46113;113252;genre fiction;2992.5;0.0;36.220,00;150;Amazon Digital Services,  Inc.;750;Nein;Americanah;
2001;Suzanne's Diary for Nicholas;James Patterson;eng;Intermediate;42461;121398;genre fiction;3717.55;2230.53;36.251,00;151;Random House LLC;745;Ja;Suzanne's Diary for Nicholas;
1980;Firestarter;Stephen King;eng;Intermediate;31107;142213;genre fiction;2952.6;1771.56;36.220,00;152;Macmillan;740;Nein;Firestarter;
2013;Entwined with You;Sylvia Day;eng;Intermediate;43556;141641;genre fiction;727.65;0.0;0.99;153;Amazon Digital Services,  Inc.;735;Nein;Entwined with You;
2009;Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen;Christopher McDougall;eng;Intermediate;46478;109642;genre fiction;3642.7;0.0;36.251,00;154;Amazon Digital Services,  Inc.;730;Ja;Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen;
2014;The Storied Life of A.J. Fikry;Gabrielle Zevin;eng;Intermediate;35855;115393;genre fiction;5444.75;3266.85;18.810,00;155;Random House LLC;725;Nein;The Storied Life of A.J. Fikry;
1939;Mad About Madeline;Ludwig Bemelmans;en-GB;Intermediate;44652;156726;genre fiction;712.8;0.0;0.99;156;Amazon Digital Services,  Inc.;720;Nein;Mad About Madeline;
